acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
1,prac,1,inc,1,z,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),131979.80000019073,film,900,I,z,,,825,,,14,3,3023.5,128956.30000019073,9002,hate,AF,C,,,,,,,,,,1
2,prac,1,inc,1,z,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),134963.10000038147,rock,900,I,z,,,766,,,10,3,2971.300000190735,131991.80000019073,9002,kind,AF,C,,,,,,,,,,2
3,prac,1,con,1,z,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),137762.89999961853,elated,800,I,z,,,683,,,9,3,2789.8999996185303,134973.0,9002,elated,AF,C,,,,,,,,,,3
4,prac,1,inc,1,m,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),140479.60000038147,kind,900,I,m,,,503,,,2,3,2706.300000190735,137773.30000019073,9002,rock,AF,C,,,,,,,,,,4
5,prac,1,con,1,z,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),143496.30000019073,love,1000,I,z,,,711,,,11,3,3007.199999809265,140489.10000038147,9002,love,AF,C,,,,,,,,,,5
6,prac,1,con,1,m,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),146746.19999980927,remote,1000,I,m,,,941,,,7,3,3240.5999994277954,143505.60000038147,9002,remote,AF,C,,,,,,,,,,6
7,prac,1,con,1,z,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),149746.19999980927,brutal,800,I,z,,,884,,,13,3,2989.5,146756.69999980927,9002,brutal,AF,C,,,,,,,,,,7
8,prac,1,inc,1,m,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),152812.89999961853,brutal,1100,I,m,,,656,,,8,3,3057.0999994277954,149755.80000019073,9002,window,AF,C,,,,,,,,,,8
9,prac,1,inc,1,z,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),155962.89999961853,napkin,1100,I,z,,,741,,,12,3,3140.0,152822.89999961853,9002,friend,AF,C,,,,,,,,,,9
10,prac,1,con,1,m,Fri May 02 2025 10:59:05 GMT-0400 (Eastern Daylight Time),158746.30000019073,jacket,800,I,m,,,675,,,5,3,2770.9000005722046,155975.39999961853,9002,jacket,AF,C,,,,,,,,,,10
