acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,m,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),65294.0,CFD-WM-006-013-HC.jpg,1700,solid,I,m,799,9,1,3300.5,61993.5,9003,ATS,A,1
2,prac,1,A,haborder.png,1,m,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),68460.59999990463,CFD-WF-017-016-HC.jpg,1500,solid,I,m,849,11,1,6467.099999904633,61993.5,9003,ATS,A,2
3,prac,1,A,haborder.png,1,z,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),71093.09999990463,CFD-BF-039-039-A.jpg,1200,solid,I,z,623,6,1,9099.599999904633,61993.5,9003,ATS,A,3
3,prac,1,A,haborder.png,0,m,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),74893.59999990463,CFD-BM-029-026-HC.jpg,1500,solid,I,None,1516,3,1,12900.099999904633,61993.5,9003,ATS,A,4
4,prac,1,A,haborder.png,1,z,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),78410.2999997139,CFD-WM-013-015-A.jpg,1900,solid,I,z,802,8,1,16416.799999713898,61993.5,9003,ATS,A,5
5,prac,1,A,haborder.png,1,z,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),81426.5,CFD-BM-005-010-A.jpg,1600,solid,I,z,608,2,1,19433.0,61993.5,9003,ATS,A,6
6,prac,1,A,haborder.png,1,z,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),83910.59999990463,CFD-WF-019-015-A.jpg,1000,solid,I,z,689,12,1,21917.099999904633,61993.5,9003,ATS,A,7
7,prac,1,A,haborder.png,1,m,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),87277.0,CFD-BF-028-020-HC.jpg,2000,solid,I,m,550,5,1,25283.5,61993.5,9003,ATS,A,8
8,prac,1,A,haborder.png,1,m,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),90477.19999980927,CFD-BM-017-052-HC.jpg,1700,solid,I,m,698,1,1,28483.699999809265,61993.5,9003,ATS,A,9
9,prac,1,A,haborder.png,1,z,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),93543.69999980927,CFD-WF-003-014-A.jpg,1600,solid,I,z,654,10,1,31550.199999809265,61993.5,9003,ATS,A,10
10,prac,1,A,haborder.png,1,m,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),96476.69999980927,CFD-WM-004-005-HC.jpg,1400,solid,I,m,716,7,1,34483.199999809265,61993.5,9003,ATS,A,11
11,prac,1,A,haborder.png,1,z,Tue Nov 12 2024 14:44:06 GMT-0500 (Eastern Standard Time),98960.59999990463,CFD-BF-023-013-A.jpg,1000,solid,I,z,696,4,1,36967.09999990463,61993.5,9003,ATS,A,12
