acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),36506.90000009537,I,m,1639,,,3,no,1,3173.5999999046326,33333.300000190735,QHZXPC,QHZWPC,9003,LC,A,,,1
2,1,0.0,prac,1,m,30000.0,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),39307.40000009537,I,m,1271,,,1,no,1,2789.4000000953674,36518.0,RNV,FNV,9003,LC,A,,,2
2,1,0.0,prac,0,z,30000.0,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),43323.800000190735,I,m,2489,,,6,yes,1,4007.0999999046326,39316.7000002861,CSDBFPHXZ,CSDBFPHXZ,9003,LC,A,,,3
3,1,0.0,prac,1,z,30000.0,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),46057.10000038147,I,z,1192,,,4,yes,1,2723.800000190735,43333.300000190735,RSM,RSM,9003,LC,A,,,4
4,1,0.0,prac,1,m,30000.0,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),49390.5,I,m,1801,,,5,no,1,3323.3999996185303,46067.10000038147,LNDPRSKQB,LNDPRSJQB,9003,LC,A,,,5
4,1,0.0,prac,0,z,30000.0,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),52573.60000038147,I,m,1645,,,2,yes,1,3167.800000190735,49405.800000190735,NBGFSM,NBGFSM,9003,LC,A,,,6
1,1,1.0329999923706055,test,1,m,28967.000007629395,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),63873.7000002861,I,m,1025,1025,,1,no,1,1029.8000001907349,62843.90000009537,HCF,RCF,9003,LC,A,60493,,1
2,1,2.933000087738037,test,1,m,27066.999912261963,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),65773.80000019073,I,m,1878,1878,,2,no,1,1895.5999999046326,63878.2000002861,QTPRJX,QTPNJX,9003,LC,A,61528,,2
3,1,5.334000110626221,test,1,m,24665.99988937378,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),68174.0,I,m,2377,2377,,3,no,1,2393.8999996185303,65780.10000038147,MZDYGVGKQ,MZDYGLBKQ,9003,LC,A,63430,,3
4,1,6.450000047683716,test,1,m,23549.999952316284,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),69290.7000002861,I,m,1091,1091,,4,no,1,1105.2000002861023,68185.5,FQTNMK,JQTNMK,9003,LC,A,65836,,4
5,1,7.683000087738037,test,1,z,22316.999912261963,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),70523.90000009537,I,z,1211,1211,,5,yes,1,1225.6999998092651,69298.2000002861,CLJ,CLJ,9003,LC,A,66948,,5
5,1,10.384000062942505,test,0,m,19615.999937057495,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),73224.10000038147,I,z,2682,2682,,6,no,1,2693.0,70531.10000038147,JGDMNSVPW,JGZMNSVPW,9003,LC,A,68181,,6
6,1,12.717000007629395,test,1,z,17282.999992370605,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),75557.30000019073,I,z,2318,2318,,7,yes,1,2325.5,73231.80000019073,FPTVHKCBJ,FPTVHKCBJ,9003,LC,A,70881,,7
7,1,13.700000047683716,test,1,m,16299.999952316284,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),76540.5,I,m,960,960,,8,no,1,975.0,75565.5,XRPZBS,ZRPBDH,9003,LC,A,73215,,8
8,1,15.483000040054321,test,1,m,14516.999959945679,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),78323.60000038147,I,m,1769,1769,,9,no,1,1775.8000001907349,76547.80000019073,ZSQ,ZSP,9003,LC,A,74197,,9
9,1,17.382999897003174,test,1,z,12617.000102996826,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),80223.7000002861,I,z,1892,1892,,10,yes,1,1894.4000000953674,78329.30000019073,MPZRXL,MPZRXL,9003,LC,A,75979,,10
10,1,18.549999952316284,test,1,m,11450.000047683716,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),81390.10000038147,I,m,1153,1153,,11,no,1,1155.2000002861023,80234.90000009537,KJH,KRH,9003,LC,A,77885,,11
11,1,20.867000102996826,test,1,z,9132.999897003174,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),83707.30000019073,I,z,2299,2299,,12,yes,1,2313.199999809265,81394.10000038147,SMNHVTFCB,SMNHVTFCB,9003,LC,A,79044,,12
12,1,22.84999990463257,test,1,z,7150.000095367432,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),85690.60000038147,I,z,1962,1962,,13,yes,1,1975.3000001907349,83715.30000019073,KJWTQF,KJWTQF,9003,LC,A,81365,,13
13,1,25.34999990463257,test,1,z,4650.000095367432,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),88190.5,I,z,2471,2471,,14,yes,1,2488.8999996185303,85701.60000038147,CHDKQGLMB,CHDKQGLMB,9003,LC,A,83352,,14
14,1,27.16700005531311,test,1,z,2832.9999446868896,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),90007.30000019073,I,z,1796,1796,,15,yes,1,1806.0999999046326,88201.2000002861,GHQ,GHQ,9003,LC,A,85851,,15
15,1,29.299999952316284,test,1,z,700.0000476837158,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),92140.60000038147,I,z,2111,2111,,16,yes,1,2125.9000000953674,90014.7000002861,GFVMRH,GFVMRH,9003,LC,A,87664,,16
15,1,30.01699995994568,test,0,z,-16.99995994567871,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),92857.30000019073,I,None,708,708,,17,yes,1,708.9000000953674,92148.40000009537,RSM,RSM,9003,LC,A,89798,,17
1,2,1.815999984741211,test,1,z,28184.00001525879,Tue Nov 12 2024 15:51:34 GMT-0500 (Eastern Standard Time),101390.7000002861,I,z,1802,,1802.0,1,yes,1,9242.300000190735,92148.40000009537,PRDBZTYFN,PRDBZTYFN,9003,LC,A,,97237.0,1
