acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),,050_m_f_n_a.png,I,space,14105,1,1,,,9003,NNB,A,0
1,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),146318.5,063_y_f_n_a.png,I,m,853,2,1,1684.3000001907349,144634.19999980927,9003,NNB,A,1
2,prac,1,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),147901.90000009537,063_y_f_n_a.png,I,z,794,3,1,1569.9000000953674,146332.0,9003,NNB,A,2
3,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),149485.19999980927,053_o_m_n_a.png,I,m,749,4,1,1568.7999997138977,147916.40000009537,9003,NNB,A,3
4,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),151134.69999980927,058_m_m_n_a.png,I,m,765,5,1,1593.2999997138977,149541.40000009537,9003,NNB,A,4
5,prac,1,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),152535.0,058_m_m_n_a.png,I,z,617,6,1,1386.9000000953674,151148.09999990463,9003,NNB,A,5
6,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),154085.09999990463,047_o_f_n_a.png,I,m,678,7,1,1536.0999999046326,152549.0,9003,NNB,A,6
7,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),155618.5,045_m_m_n_a.png,I,m,698,8,1,1519.8000001907349,154098.69999980927,9003,NNB,A,7
8,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),157151.40000009537,050_m_f_n_a.png,I,m,740,9,1,1518.7000002861023,155632.69999980927,9003,NNB,A,8
9,prac,1,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),158534.90000009537,050_m_f_n_a.png,I,z,601,10,1,1370.2000002861023,157164.69999980927,9003,NNB,A,9
10,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),160001.5,053_o_m_n_a.png,I,m,672,11,1,1451.5,158550.0,9003,NNB,A,10
11,prac,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),161584.90000009537,010_y_f_n_a.png,I,m,700,12,1,1566.5999999046326,160018.30000019073,9003,NNB,A,11
0,test,1,0.0,1-Back,,,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),161584.90000009537,063_y_f_n_a.png,I,space,17730,1,1,1566.5999999046326,160018.30000019073,9003,NNB,A,0
1,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),189268.40000009537,043_m_f_n_a.png,I,m,652,2,1,1671.5,187596.90000009537,9003,NNB,A,1
2,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),190918.5,010_y_f_n_a.png,I,m,632,3,1,1638.0999999046326,189280.40000009537,9003,NNB,A,2
3,test,1,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),192435.0,010_y_f_n_a.png,I,z,470,4,1,1499.5999999046326,190935.40000009537,9003,NNB,A,3
4,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),194018.5,043_m_f_n_a.png,I,m,554,5,1,1571.9000000953674,192446.59999990463,9003,NNB,A,4
5,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),195751.30000019073,053_o_m_n_a.png,I,m,714,6,1,1720.7000002861023,194030.59999990463,9003,NNB,A,5
6,test,1,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),197418.40000009537,053_o_m_n_a.png,I,z,645,7,1,1654.8000001907349,195763.59999990463,9003,NNB,A,6
7,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),199001.69999980927,058_m_m_n_a.png,I,m,562,8,1,1571.0999999046326,197430.59999990463,9003,NNB,A,7
8,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),200718.30000019073,047_o_f_n_a.png,I,m,674,9,1,1700.8000001907349,199017.5,9003,NNB,A,8
9,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),202367.90000009537,058_m_m_n_a.png,I,m,621,10,1,1638.3000001907349,200729.59999990463,9003,NNB,A,9
10,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),203968.40000009537,041_y_m_n_a.png,I,m,573,11,1,1589.8000001907349,202378.59999990463,9003,NNB,A,10
11,test,1,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),205684.59999990463,041_y_m_n_a.png,I,z,683,12,1,1703.5999999046326,203981.0,9003,NNB,A,11
12,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),207318.09999990463,044_o_f_n_a.png,I,m,601,13,1,1624.0,205694.09999990463,9003,NNB,A,12
13,test,1,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),209501.69999980927,044_o_f_n_a.png,I,z,1158,14,1,2172.0,207329.69999980927,9003,NNB,A,13
14,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),211185.09999990463,008_y_m_n_a.png,I,m,655,15,1,1671.2999997138977,209513.80000019073,9003,NNB,A,14
15,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),212951.40000009537,050_m_f_n_a.png,I,m,748,16,1,1754.3000001907349,211197.09999990463,9003,NNB,A,15
16,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),214501.19999980927,046_o_m_n_a.png,I,m,517,17,1,1535.0,212966.19999980927,9003,NNB,A,16
17,test,1,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),216051.59999990463,050_m_f_n_a.png,I,m,519,18,1,1541.7999997138977,214509.80000019073,9003,NNB,A,17
0,test,2,0.0,1-Back,,,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),216051.59999990463,058_m_m_n_a.png,I,space,4033,1,1,1541.7999997138977,214509.80000019073,9003,NNB,A,0
1,test,2,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),223751.59999990463,043_m_f_n_a.png,I,m,615,2,1,1621.5,222130.09999990463,9003,NNB,A,1
2,test,2,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),225568.40000009537,043_m_f_n_a.png,I,z,789,3,1,1804.4000000953674,223764.0,9003,NNB,A,2
3,test,2,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),227201.59999990463,058_m_m_n_a.png,I,m,603,4,1,1619.6999998092651,225581.90000009537,9003,NNB,A,3
4,test,2,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),228801.69999980927,041_y_m_n_a.png,I,m,555,5,1,1583.8999996185303,227217.80000019073,9003,NNB,A,4
5,test,2,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),230368.19999980927,063_y_f_n_a.png,I,m,539,6,1,1553.5999999046326,228814.59999990463,9003,NNB,A,5
6,test,2,1.0,1-Back,1,z,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),231985.80000019073,063_y_f_n_a.png,I,z,589,7,1,1604.7000002861023,230381.09999990463,9003,NNB,A,6
7,test,2,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),233618.30000019073,041_y_m_n_a.png,I,m,604,8,1,1620.4000000953674,231997.90000009537,9003,NNB,A,7
8,test,2,0.0,1-Back,1,m,Tue Nov 12 2024 14:23:33 GMT-0500 (Eastern Standard Time),235268.40000009537,044_o_f_n_a.png,I,m,618,9,1,1637.8000001907349,233630.59999990463,9003,NNB,A,8
