block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,3.4170000553131104,delay,56582.99994468689,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),32169.799999713898,A,towerenter,I,enter,648,2,3415.0,28754.799999713898,9005,DWL,C,1
8,5.2179999351501465,delay,54782.00006484985,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),33971.0,A,wheatenter,I,enter,391,2,1800.0999999046326,32170.900000095367,9005,DWL,C,2
8,7.683000087738037,delay,52316.99991226196,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),36436.59999990463,A,queenenter,I,enter,604,2,2464.9000000953674,33971.699999809265,9005,DWL,C,3
8,9.967000007629395,delay,50032.999992370605,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),38719.699999809265,A,boyenter,I,enter,276,2,2282.5999999046326,36437.09999990463,9005,DWL,C,4
8,11.299999952316284,delay,48700.000047683716,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),40053.199999809265,A,sugarenter,I,enter,270,2,1332.9000000953674,38720.2999997139,9005,DWL,C,5
8,12.818000078201294,delay,47181.999921798706,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),41570.90000009537,A,homeenter,I,enter,517,2,1517.2000002861023,40053.699999809265,9005,DWL,C,6
8,14.549999952316284,delay,45450.000047683716,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),43303.199999809265,A,cornenter,I,enter,802,2,1731.6999998092651,41571.5,9005,DWL,C,7
8,15.700000047683716,delay,44299.999952316284,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),44453.199999809265,A,wheatenter,I,enter,289,2,1149.5,43303.699999809265,9005,DWL,C,8
8,17.91700005531311,delay,42082.99994468689,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),46670.0,A,campenter,I,enter,261,2,2216.2000002861023,44453.7999997139,9005,DWL,C,9
8,19.58299994468689,delay,40417.00005531311,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),48336.5,A,flagenter,I,enter,306,2,1666.0,46670.5,9005,DWL,C,10
8,22.26699995994568,delay,37733.00004005432,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),51019.90000009537,A,nailenter,I,enter,230,2,2682.9000000953674,48337.0,9005,DWL,C,11
8,27.500999927520752,delay,32499.000072479248,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),56254.199999809265,A,cattleenter,I,enter,146,2,5233.900000095367,51020.2999997139,9005,DWL,C,12
8,28.65000009536743,delay,31349.99990463257,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),57403.09999990463,A,shoreenter,I,enter,192,2,1148.4000000953674,56254.699999809265,9005,DWL,C,13
8,32.382999897003174,delay,27617.000102996826,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),61136.5,A,doctorenter,I,enter,180,2,3732.9000000953674,57403.59999990463,9005,DWL,C,14
8,33.90000009536743,delay,26099.99990463257,Wed Mar 26 2025 12:19:01 GMT-0400 (Eastern Daylight Time),62653.199999809265,A,letterenter,I,enter,150,2,1516.1999998092651,61137.0,9005,DWL,C,15
