acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),72402.19999980927,I,z,1104,,,3,yes,2,2625.0999999046326,69777.09999990463,practrial3.png,practrial3.png,9005,PC,C,,,1
2,1,0.0,prac,1,z,30000.0,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),75135.7999997139,I,z,1203,,,1,yes,2,2721.699999809265,72414.09999990463,practrial1.png,practrial1.png,9005,PC,C,,,2
3,1,0.0,prac,1,z,30000.0,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),78035.40000009537,I,z,1368,,,5,yes,2,2890.7000002861023,75144.69999980927,practrial5.png,practrial5.png,9005,PC,C,,,3
3,1,0.0,prac,0,m,30000.0,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),80602.0,I,z,1028,,,4,no,2,2557.7000002861023,78044.2999997139,practrial4.png,practrial4b.png,9005,PC,C,,,4
4,1,0.0,prac,1,m,30000.0,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),83452.0,I,m,1311,,,6,no,2,2842.0999999046326,80609.90000009537,practrial6.png,practrial6b.png,9005,PC,C,,,5
5,1,0.0,prac,1,m,30000.0,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),86185.5,I,m,1194,,,2,no,2,2723.0,83462.5,practrial2.png,practrial2b.png,9005,PC,C,,,6
1,1,1.2339999675750732,test,1,z,28766.000032424927,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),106785.69999980927,I,z,1214,1214,,1,yes,2,1230.5999999046326,105555.09999990463,test1trial1.png,test1trial1.png,9005,PC,C,102433,,1
2,1,2.2669999599456787,test,1,m,27733.00004005432,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),107819.19999980927,I,m,1017,1017,,2,no,2,1027.4000000953674,106791.7999997139,test1trial2.png,test1trial2b.png,9005,PC,C,103670,,2
3,1,3.4670000076293945,test,1,z,26532.999992370605,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),109018.90000009537,I,z,1184,1184,,3,yes,2,1193.3000001907349,107825.59999990463,test1trial3.png,test1trial3.png,9005,PC,C,104703,,3
4,1,4.634000062942505,test,1,m,25365.999937057495,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),110185.59999990463,I,m,1150,1150,,4,no,2,1159.3000001907349,109026.2999997139,test1trial4.png,test1trial4b.png,9005,PC,C,105905,,4
5,1,5.950000047683716,test,1,z,24049.999952316284,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),111502.19999980927,I,z,1297,1297,,5,yes,2,1309.7999997138977,110192.40000009537,test1trial5.png,test1trial5.png,9005,PC,C,107070,,5
6,1,6.91700005531311,test,1,m,23082.99994468689,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),112468.90000009537,I,m,956,956,,6,no,2,960.1000003814697,111508.7999997139,test1trial6.png,test1trial6b.png,9005,PC,C,108387,,6
7,1,8.0,test,1,z,22000.0,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),113552.0,I,z,1062,1062,,7,yes,2,1076.5,112475.5,test1trial7.png,test1trial7.png,9005,PC,C,109353,,7
7,1,9.349999904632568,test,0,m,20650.00009536743,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),114902.09999990463,I,z,1334,1334,,8,no,2,1340.9000000953674,113561.19999980927,test1trial8.png,test1trial8b.png,9005,PC,C,110441,,8
8,1,10.384000062942505,test,1,z,19615.999937057495,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),115935.59999990463,I,z,1012,1012,,9,yes,2,1026.8000001907349,114908.7999997139,test1trial9.png,test1trial9.png,9005,PC,C,111787,,9
9,1,11.434000015258789,test,1,m,18565.99998474121,Wed Mar 26 2025 12:12:47 GMT-0400 (Eastern Daylight Time),116985.59999990463,I,m,1034,1034,,10,no,2,1042.5,115943.09999990463,test1trial10.png,test1trial10b.png,9005,PC,C,112821,,10
