acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),-224,-192,73513.19999980927,CFD-BM-204-003-N.jpg,Sam,64,I,None,3014,,3014,,,1,1,4020.3999996185303,-416,-256,69492.80000019073,9007,FN,A,,53128,,,1,192,-320,-224
0,prac,1,0,,,,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),416,32,79612.60000038147,CFD-WM-012-001-N.jpg,John,64,I,None,3015,,3015,,,2,1,4025.0,224,-32,75587.60000038147,9007,FN,A,,59228,,,2,192,320,0
1,prac,1,1,,-309.0,230.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),-224,256,83946.0,CFD-LF-249-132-N.jpg,Tina,64,I,1,1297,,1297,,,3,1,2310.0,-416,192,81636.0,9007,FN,A,,65274,,,3,192,-320,224
2,prac,1,1,,345.0,-231.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),416,-192,86479.0,CFD-BM-204-003-N.jpg,Sam,64,I,1,1502,,1502,,,4,1,2528.0,224,-256,83951.0,9007,FN,A,,67595,,,4,192,320,-224
3,prac,1,1,,-291.0,4.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),-224,32,88529.19999980927,CFD-WM-012-001-N.jpg,John,64,I,1,1017,,1017,,,5,1,2047.8000001907349,-416,-32,86481.39999961853,9007,FN,A,,70128,,,5,192,-320,0
4,prac,1,1,,310.0,218.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),416,256,90813.5,CFD-LF-249-132-N.jpg,Tina,64,I,1,1264,,1264,,,6,1,2279.199999809265,224,192,88534.30000019073,9007,FN,A,,72178,,,6,192,320,224
0,prac_test,1,0,m,310.0,218.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),416,256,119679.60000038147,CFD-WM-012-001-N.jpg,Sam,64,I,z,1721,,,1721,,1,1,3517.300000190735,224,192,116162.30000019073,9007,FN,A,,,99813,,1,192,320,224
0,prac_test,1,0,m,310.0,218.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),416,256,123779.60000038147,CFD-BM-204-003-N.jpg,John,64,I,z,2283,,,2283,,2,1,4083.2000007629395,224,192,119696.39999961853,9007,FN,A,,,103347,,2,192,320,224
1,prac_test,1,1,z,310.0,218.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),416,256,127712.60000038147,CFD-LF-249-132-N.jpg,Tina,64,I,z,2120,,,2120,,3,1,3912.1000003814697,224,192,123800.5,9007,FN,A,,,107447,,3,192,320,224
0,prac,2,0,,310.0,218.0,Fri Jan 10 2025 11:16:38 GMT-0500 (Eastern Standard Time),-224,-192,148396.19999980927,CFD-BM-204-003-N.jpg,Sam,64,I,None,3012,,3012,2120,,1,1,4038.300000190735,-416,-256,144357.89999961853,9007,FN,A,,127995,107447,,1,192,-320,-224
