block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),,,,I,space,379,,,,9007,WL,A,
prac,,0,,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),,NA,b,I,b,6873,,,,9007,WL,A,1.0
prac,,0,,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),,NA,bo,I,o,442,,,,9007,WL,A,1.0
prac,,0,,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),,NA,boo,I,o,136,,,,9007,WL,A,1.0
prac,,0,,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),,NA,boos,I,s,216,,,,9007,WL,A,1.0
prac,,0,,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),,NA,boost,I,t,312,,,,9007,WL,A,1.0
prac,,0,,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),,NA,boostenter,I,enter,473,,,,9007,WL,A,1.0
1,4.615999937057495,learn,55384.000062942505,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),146943.5,A,r,I,r,4601,,4615.5,142328.0,9007,WL,A,1.0
1,4.75,learn,55250.0,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),147077.19999980927,A,ru,I,u,114,,4749.199999809265,142328.0,9007,WL,A,1.0
1,5.365999937057495,learn,54634.000062942505,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),147693.30000019073,A,rug,I,g,592,,5365.300000190735,142328.0,9007,WL,A,1.0
1,7.931999921798706,learn,52068.000078201294,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),150259.80000019073,A,rugenter,I,enter,2551,,7931.800000190735,142328.0,9007,WL,A,1.0
1,12.83299994468689,learn,47167.00005531311,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),155160.30000019073,A,f,I,f,4881,,4900.0,150260.30000019073,9007,WL,A,2.0
1,13.065999984741211,learn,46934.00001525879,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),155393.60000038147,A,fl,I,l,216,,5133.300000190735,150260.30000019073,9007,WL,A,2.0
1,13.282999992370605,learn,46717.000007629395,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),155610.19999980927,A,flo,I,o,191,,5349.89999961853,150260.30000019073,9007,WL,A,2.0
1,13.532999992370605,learn,46467.000007629395,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),155860.19999980927,A,flow,I,w,232,,5599.89999961853,150260.30000019073,9007,WL,A,2.0
1,13.766000032424927,learn,46233.99996757507,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),156093.60000038147,A,flowe,I,e,205,,5833.300000190735,150260.30000019073,9007,WL,A,2.0
1,13.999000072479248,learn,46000.99992752075,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),156326.80000019073,A,flower,I,r,211,,6066.5,150260.30000019073,9007,WL,A,2.0
1,14.200000047683716,learn,45799.999952316284,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),156527.60000038147,A,flowers,I,s,186,,6267.300000190735,150260.30000019073,9007,WL,A,2.0
1,15.032000064849854,learn,44967.99993515015,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),157359.69999980927,A,flowersenter,I,enter,806,,7099.39999961853,150260.30000019073,9007,WL,A,2.0
1,18.48300004005432,learn,41516.99995994568,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),160810.10000038147,A,r,I,r,3428,,3449.9000005722046,157360.19999980927,9007,WL,A,3.0
1,18.766000032424927,learn,41233.99996757507,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),161093.10000038147,A,ru,I,u,263,,3732.9000005722046,157360.19999980927,9007,WL,A,3.0
1,19.115999937057495,learn,40884.000062942505,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),161443.60000038147,A,rug,I,g,336,,4083.4000005722046,157360.19999980927,9007,WL,A,3.0
1,19.949000120162964,learn,40050.999879837036,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),162276.5,A,rugenter,I,enter,813,,4916.300000190735,157360.19999980927,9007,WL,A,3.0
1,23.449000120162964,learn,36550.999879837036,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),165776.4000005722,A,b,I,b,3487,,3499.4000005722046,162277.0,9007,WL,A,4.0
1,23.81599998474121,learn,36184.00001525879,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),166143.30000019073,A,bo,I,o,356,,3866.300000190735,162277.0,9007,WL,A,4.0
1,23.966000080108643,learn,36033.99991989136,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),166293.10000038147,A,boo,I,o,130,,4016.1000003814697,162277.0,9007,WL,A,4.0
1,24.216000080108643,learn,35783.99991989136,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),166543.19999980927,A,book,I,k,238,,4266.199999809265,162277.0,9007,WL,A,4.0
1,25.049000024795532,learn,34950.99997520447,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),167376.30000019073,A,bookenter,I,enter,818,,5099.300000190735,162277.0,9007,WL,A,4.0
1,40.365999937057495,learn,19634.000062942505,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),182693.0,A,a,I,a,15298,,15316.099999427795,167376.9000005722,9007,WL,A,5.0
1,40.61500000953674,learn,19384.999990463257,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),182942.80000019073,A,ap,I,p,237,,15565.89999961853,167376.9000005722,9007,WL,A,5.0
1,40.782999992370605,learn,19217.000007629395,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),183110.0,A,app,I,p,146,,15733.099999427795,167376.9000005722,9007,WL,A,5.0
1,40.99900007247925,learn,19000.999927520752,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),183326.30000019073,A,appl,I,l,196,,15949.39999961853,167376.9000005722,9007,WL,A,5.0
1,41.431999921798706,learn,18568.000078201294,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),183759.80000019073,A,apple,I,e,420,,16382.89999961853,167376.9000005722,9007,WL,A,5.0
1,42.38199996948242,learn,17618.000030517578,Fri Jan 10 2025 10:53:28 GMT-0500 (Eastern Standard Time),184709.69999980927,A,appleenter,I,enter,927,,17332.79999923706,167376.9000005722,9007,WL,A,5.0
