block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),,,,I,space,806,1,,,9013,WL,A,
prac,,0,,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),,NA,b,I,b,3815,1,,,9013,WL,A,1.0
prac,,0,,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),,NA,bo,I,o,111,1,,,9013,WL,A,1.0
prac,,0,,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),,NA,boo,I,o,149,1,,,9013,WL,A,1.0
prac,,0,,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),,NA,boos,I,s,246,1,,,9013,WL,A,1.0
prac,,0,,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),,NA,boost,I,t,119,1,,,9013,WL,A,1.0
prac,,0,,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),,NA,boostenter,I,enter,1892,1,,,9013,WL,A,1.0
1,4.884000062942505,learn,55115.999937057495,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),128070.40000009537,A,a,I,a,4863,1,4882.900000095367,123187.5,9013,WL,A,1.0
1,4.983000040054321,learn,55016.99995994568,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),128170.30000019073,A,ap,I,p,76,1,4982.800000190735,123187.5,9013,WL,A,1.0
1,5.1000001430511475,learn,54899.99985694885,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),128286.40000009537,A,app,I,p,94,1,5098.900000095367,123187.5,9013,WL,A,1.0
1,5.267000198364258,learn,54732.99980163574,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),128453.40000009537,A,appl,I,l,139,1,5265.900000095367,123187.5,9013,WL,A,1.0
1,5.450000047683716,learn,54549.999952316284,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),128636.80000019073,A,apple,I,e,148,1,5449.300000190735,123187.5,9013,WL,A,1.0
1,6.14900016784668,learn,53850.99983215332,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),129336.2000002861,A,appleenter,I,enter,678,1,6148.700000286102,123187.5,9013,WL,A,1.0
1,10.633000135421753,learn,49366.99986457825,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),133820.09999990463,A,t,I,t,4462,1,4483.199999809265,129336.90000009537,9013,WL,A,2.0
1,10.800000190734863,learn,49199.99980926514,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),133986.80000019073,A,tr,I,r,149,1,4649.900000095367,129336.90000009537,9013,WL,A,2.0
1,11.0,learn,49000.0,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),134186.7000002861,A,tra,I,a,165,1,4849.800000190735,129336.90000009537,9013,WL,A,2.0
1,11.082000017166138,learn,48917.99998283386,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),134269.2000002861,A,trai,I,i,63,1,4932.300000190735,129336.90000009537,9013,WL,A,2.0
1,11.317000150680542,learn,48682.99984931946,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),134503.40000009537,A,train,I,n,212,1,5166.5,129336.90000009537,9013,WL,A,2.0
1,12.449000120162964,learn,47550.999879837036,Mon Mar 31 2025 11:07:23 GMT-0400 (Eastern Daylight Time),135636.09999990463,A,trainenter,I,enter,1115,1,6299.199999809265,129336.90000009537,9013,WL,A,2.0
