Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,198,137,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),,box1,yes,I,1,1,,,9015,DSST,B,,,,0,160,113
+,1,1,0.0,9,prac,yes,1,9,120000.0,215,143,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),49893.800000190735,box9,yes,I,1,1,4361.699999809265,45532.10000038147,9015,DSST,B,,,,1,160,113
U,2,1,0.0,5,prac,yes,1,5,120000.0,193,140,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),53926.60000038147,box5,yes,I,1,1,3250.5,50676.10000038147,9015,DSST,B,,,,2,160,113
),3,1,0.0,3,prac,yes,1,3,120000.0,259,119,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),57693.39999961853,box3,yes,I,1,1,2979.3999996185303,54714.0,9015,DSST,B,,,,3,160,113
^,4,1,0.0,7,prac,yes,1,7,120000.0,261,128,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),61576.60000038147,box7,yes,I,1,1,3100.800000190735,58475.800000190735,9015,DSST,B,,,,4,160,113
-,5,1,0.0,1,prac,yes,1,1,120000.0,254,133,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),65026.5,box1,yes,I,1,1,2667.5,62359.0,9015,DSST,B,,,,5,160,113
T,6,1,0.0,2,prac,yes,1,2,120000.0,311,164,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),68426.39999961853,box2,yes,I,1,1,2620.699999809265,65805.69999980927,9015,DSST,B,,,,6,160,113
X,7,1,0.0,8,prac,yes,1,8,120000.0,216,143,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),71926.69999980927,box8,yes,I,1,1,2703.199999809265,69223.5,9015,DSST,B,,,,7,160,113
L,8,1,0.0,4,prac,yes,1,4,120000.0,188,134,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),75209.60000038147,box4,yes,I,1,1,2503.4000005722046,72706.19999980927,9015,DSST,B,,,,8,160,113
O,9,1,0.0,6,prac,yes,1,6,120000.0,318,125,Tue Apr 29 2025 11:57:15 GMT-0400 (Eastern Daylight Time),78459.69999980927,box6,yes,I,1,1,2468.5999994277954,75991.10000038147,9015,DSST,B,,,,9,160,113
