Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
7,1,prac,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),86528.4000005722,1700,I,m,876,6,1,3355.5,83172.9000005722,9015,NTS,B,1
3,2,prac,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),89328.0,1200,I,z,807,3,1,2788.199999809265,86539.80000019073,9015,NTS,B,2
3,3,prac,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),91744.70000076294,1200,I,z,426,3,1,2406.1000003814697,89338.60000038147,9015,NTS,B,3
2,4,prac,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),95077.30000019073,2000,I,z,537,2,1,3318.699999809265,91758.60000038147,9015,NTS,B,4
8,5,prac,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),97878.0,1600,I,m,403,7,1,2792.2999992370605,95085.70000076294,9015,NTS,B,5
4,6,prac,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),100561.4000005722,1400,I,z,492,4,1,2672.1000003814697,97889.30000019073,9015,NTS,B,6
6,7,prac,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),103711.4000005722,1900,I,m,461,5,1,3137.6000003814697,100573.80000019073,9015,NTS,B,7
2,8,prac,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),107011.30000019073,2000,I,z,507,2,1,3288.300000190735,103723.0,9015,NTS,B,8
8,9,prac,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),109894.70000076294,1600,I,m,487,7,1,2871.0,107023.70000076294,9015,NTS,B,9
6,10,prac,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),113278.0,1900,I,m,696,5,1,3370.199999809265,109907.80000019073,9015,NTS,B,10
1,11,prac,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),115628.20000076294,1000,I,z,548,1,1,2336.6000003814697,113291.60000038147,9015,NTS,B,11
9,12,prac,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),118411.30000019073,1500,I,m,482,8,1,2772.699999809265,115638.60000038147,9015,NTS,B,12
6,1,prac,1,B,triangle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),151411.20000076294,1000,I,m,908,5,1,2686.6000003814697,148724.60000038147,9015,NTS,B,1
1,2,prac,1,B,triangle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),154578.0,1900,I,z,476,1,1,3155.8999996185303,151422.10000038147,9015,NTS,B,2
3,3,prac,1,B,triangle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),157744.4000005722,1600,I,z,777,3,1,3156.0,154588.4000005722,9015,NTS,B,3
4,4,prac,1,B,triangle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),160528.0,1500,I,m,494,4,1,2770.699999809265,157757.30000019073,9015,NTS,B,4
2,5,prac,1,B,triangle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),163611.10000038147,1700,I,m,583,2,1,3071.800000190735,160539.30000019073,9015,NTS,B,5
9,6,prac,1,B,triangle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),166327.9000005722,1400,I,z,521,8,1,2705.800000190735,163622.10000038147,9015,NTS,B,6
7,7,prac,1,B,triangle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),169577.80000019073,2000,I,z,451,6,1,3236.800000190735,166341.0,9015,NTS,B,7
9,8,prac,1,B,triangle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),172361.0,1400,I,z,585,8,1,2772.699999809265,169588.30000019073,9015,NTS,B,8
8,9,prac,1,B,triangle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),174861.4000005722,1200,I,m,514,7,1,2490.0,172371.4000005722,9015,NTS,B,9
2,10,prac,1,B,triangle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),177927.9000005722,1700,I,m,570,2,1,3056.1000003814697,174871.80000019073,9015,NTS,B,10
7,11,prac,1,B,triangle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),181411.20000076294,2000,I,z,691,6,1,3473.5,177937.70000076294,9015,NTS,B,11
4,12,prac,1,B,triangle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),184294.5,1500,I,m,588,4,1,2871.5999994277954,181422.9000005722,9015,NTS,B,12
2,1,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),209477.9000005722,2000,I,z,489,2,1,2506.300000190735,206971.60000038147,9015,NTS,B,1
6,2,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),211994.60000038147,1900,I,m,585,5,1,2507.6000003814697,209487.0,9015,NTS,B,2
8,3,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),214544.4000005722,1600,I,m,928,7,1,2539.0,212005.4000005722,9015,NTS,B,3
2,4,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),217027.70000076294,2000,I,z,458,2,1,2469.300000190735,214558.4000005722,9015,NTS,B,4
7,5,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),219911.20000076294,1700,I,m,1155,6,1,2874.7000007629395,217036.5,9015,NTS,B,5
4,6,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),222061.0,1400,I,z,714,4,1,2141.0,219920.0,9015,NTS,B,6
6,7,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),224511.10000038147,1900,I,m,529,5,1,2440.5,222070.60000038147,9015,NTS,B,7
3,8,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),226244.4000005722,1200,I,z,506,3,1,1724.9000005722046,224519.5,9015,NTS,B,8
9,9,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),228294.4000005722,1500,I,m,522,8,1,2041.0,226253.4000005722,9015,NTS,B,9
4,10,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),230261.0,1400,I,z,539,4,1,1955.6999998092651,228305.30000019073,9015,NTS,B,10
7,11,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),232511.0,1700,I,m,529,6,1,2239.5999994277954,230271.4000005722,9015,NTS,B,11
2,12,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),235111.0,2000,I,z,570,2,1,2591.0,232520.0,9015,NTS,B,12
1,13,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),236861.60000038147,1000,I,z,732,1,1,1741.8999996185303,235119.70000076294,9015,NTS,B,13
1,14,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),238444.20000076294,1000,I,z,550,1,1,1573.5,236870.70000076294,9015,NTS,B,14
6,15,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),240961.0,1900,I,m,594,5,1,2509.0,238452.0,9015,NTS,B,15
7,16,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),243161.10000038147,1700,I,m,469,6,1,2192.0,240969.10000038147,9015,NTS,B,16
4,17,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),245360.9000005722,1400,I,z,778,4,1,2191.300000190735,243169.60000038147,9015,NTS,B,17
9,18,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),247544.5,1500,I,m,654,8,1,2174.5999994277954,245369.9000005722,9015,NTS,B,18
8,19,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),249944.4000005722,1600,I,m,770,7,1,2390.800000190735,247553.60000038147,9015,NTS,B,19
9,20,test,1,A,circle.png,1,m,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),252394.4000005722,1500,I,m,917,8,1,2440.9000005722046,249953.5,9015,NTS,B,20
4,21,test,1,A,circle.png,1,z,Tue Apr 29 2025 10:04:34 GMT-0400 (Eastern Daylight Time),254294.30000019073,1400,I,z,472,4,1,1890.1999998092651,252404.10000038147,9015,NTS,B,21
