Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
9,0,prac,1,A,circle.png,0,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),81574.20000000298,1500,I,None,1515,8,2,3793.4000000059605,77780.79999999702,8000,NTS,A,1
2,1,prac,1,A,circle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),85639.5,2000,I,z,1268,2,2,4059.39999999851,81580.10000000149,8000,NTS,A,2
9,2,prac,1,A,circle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),88638.70000000298,1500,I,m,711,8,2,2993.9000000059605,85644.79999999702,8000,NTS,A,3
8,3,prac,1,A,circle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),91721.0,1600,I,m,692,7,2,3076.10000000149,88644.89999999851,8000,NTS,A,4
1,4,prac,1,A,circle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),94153.60000000149,1000,I,z,633,1,2,2426.8000000044703,91726.79999999702,8000,NTS,A,5
3,5,prac,1,A,circle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),96952.70000000298,1200,I,z,808,3,2,2793.4000000059605,94159.29999999702,8000,NTS,A,6
1,6,prac,1,A,circle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),99285.29999999702,1000,I,z,537,1,2,2327.1999999955297,96958.10000000149,8000,NTS,A,7
7,7,prac,1,A,circle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),102367.70000000298,1700,I,m,584,6,2,3077.2000000029802,99290.5,8000,NTS,A,8
4,8,prac,1,A,circle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),105266.79999999702,1400,I,z,715,4,2,2893.7999999970198,102373.0,8000,NTS,A,9
8,9,prac,1,A,circle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),108249.20000000298,1600,I,m,592,7,2,2977.0,105272.20000000298,8000,NTS,A,10
7,10,prac,1,A,circle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),111348.20000000298,1700,I,m,613,6,2,3093.5,108254.70000000298,8000,NTS,A,11
6,11,prac,1,A,circle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),115113.79999999702,1900,I,m,946,5,2,3760.0999999940395,111353.70000000298,8000,NTS,A,12
9,0,prac,1,B,triangle.png,0,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),160132.5,1400,I,None,1515,8,2,3694.0,156438.5,8000,NTS,A,1
1,1,prac,1,B,triangle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),163715.0,1900,I,z,898,1,2,3576.89999999851,160138.1000000015,8000,NTS,A,2
4,2,prac,1,B,triangle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),166914.1000000015,1500,I,m,908,4,2,3194.10000000149,163720.0,8000,NTS,A,3
2,3,prac,1,B,triangle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),170296.20000000298,1700,I,m,884,2,2,3377.3000000044703,166918.8999999985,8000,NTS,A,4
3,4,prac,1,B,triangle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),173628.5,1600,I,z,938,3,2,3327.0,170301.5,8000,NTS,A,5
8,5,prac,1,B,triangle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),176394.5,1200,I,m,782,7,2,2761.0,173633.5,8000,NTS,A,6
6,6,prac,1,B,triangle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),178910.20000000298,1000,I,m,720,5,2,2510.5,176399.70000000298,8000,NTS,A,7
1,7,prac,1,B,triangle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),182376.0,1900,I,z,776,1,2,3460.7999999970198,178915.20000000298,8000,NTS,A,8
9,8,prac,1,B,triangle.png,1,z,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),185708.0,1400,I,z,1161,8,2,3327.10000000149,182380.8999999985,8000,NTS,A,9
6,9,prac,1,B,triangle.png,1,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),188373.70000000298,1000,I,m,878,5,2,2660.0,185713.70000000298,8000,NTS,A,10
8,9,prac,1,B,triangle.png,0,m,Wed Nov 20 2024 13:18:50 GMT-0600 (Central Standard Time),191506.5,1200,I,z,1149,7,2,3125.2999999970198,188381.20000000298,8000,NTS,A,11
