Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,251,131,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),,box1,yes,I,1,2,,,8006,DSST,A,,,,0,160,113
T,1,1,0.0,2,prac,yes,1,2,120000.0,275,137,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),56653.39999999851,box2,yes,I,1,2,4048.0999999996275,52605.29999999888,8006,DSST,A,,,,1,160,113
O,2,1,0.0,6,prac,yes,1,6,120000.0,246,149,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),60352.199999999255,box6,yes,I,1,2,2921.300000000745,57430.89999999851,8006,DSST,A,,,,2,160,113
L,3,1,0.0,4,prac,yes,1,4,120000.0,241,150,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),63468.89999999851,box4,yes,I,1,2,2340.199999999255,61128.699999999255,8006,DSST,A,,,,3,160,113
U,4,1,0.0,5,prac,yes,1,5,120000.0,186,147,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),66633.5,box5,yes,I,1,2,2389.2000000011176,64244.29999999888,8006,DSST,A,,,,4,160,113
^,5,1,0.0,7,prac,yes,1,7,120000.0,223,160,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),70315.59999999963,box7,yes,I,1,2,2906.0999999996275,67409.5,8006,DSST,A,,,,5,160,113
X,6,1,0.0,8,prac,yes,1,8,120000.0,232,135,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),73531.5,box8,yes,I,1,2,2439.7000000011176,71091.79999999888,8006,DSST,A,,,,6,160,113
+,7,1,0.0,9,prac,yes,1,9,120000.0,261,146,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),77463.39999999851,box9,yes,I,1,2,3156.5,74306.89999999851,8006,DSST,A,,,,7,160,113
-,8,1,0.0,1,prac,yes,1,1,120000.0,259,160,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),80545.69999999925,box1,yes,I,1,2,2306.0999999996275,78239.59999999963,8006,DSST,A,,,,8,160,113
),9,1,0.0,3,prac,yes,1,3,120000.0,274,142,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),83894.89999999851,box3,yes,I,1,2,2570.39999999851,81324.5,8006,DSST,A,,,,9,160,113
T,1,1,2.557999849319458,2,test,yes,1,2,117442.00015068054,260,167,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),91392.39999999851,box2,yes,I,1,2,2540.5,88851.89999999851,8006,DSST,A,89211.0,89868.0,87328.0,1,160,113
-,2,1,4.756999969482422,1,test,yes,1,1,115243.00003051758,267,142,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),93592.79999999888,box1,yes,I,1,2,2178.7999999988824,91414.0,8006,DSST,A,91460.0,92069.0,89890.0,2,160,113
),3,1,7.021999835968018,3,test,yes,1,3,112978.00016403198,220,151,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),95857.59999999963,box3,yes,I,1,2,2249.2000000011176,93608.39999999851,8006,DSST,A,93676.0,94334.0,92084.0,3,160,113
^,4,1,9.638000011444092,7,test,yes,1,7,110361.99998855591,266,137,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),98473.5,box7,yes,I,1,2,2599.7000000011176,95873.79999999888,8006,DSST,A,96259.0,96949.0,94350.0,4,160,113
T,5,1,12.35699987411499,2,test,yes,1,2,107643.00012588501,288,152,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),101189.29999999888,box2,yes,I,1,2,2700.0,98489.29999999888,8006,DSST,A,99023.0,99665.0,96965.0,5,160,113
L,6,1,15.30299997329712,4,test,yes,1,4,104697.00002670288,270,159,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),104138.79999999888,box4,yes,I,1,2,2929.4000000003725,101209.39999999851,8006,DSST,A,101923.0,102615.0,99685.0,6,160,113
X,7,1,17.68499994277954,8,test,yes,1,8,102315.00005722046,259,139,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),106521.09999999963,box8,yes,I,1,2,2367.800000000745,104153.29999999888,8006,DSST,A,104469.0,104997.0,102629.0,7,160,113
T,8,1,20.85199999809265,2,test,yes,1,2,99148.00000190735,297,152,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),109688.0,box2,yes,I,1,2,3152.300000000745,106535.69999999925,8006,DSST,A,107504.0,108164.0,105012.0,8,160,113
-,9,1,22.816999912261963,1,test,yes,1,1,97183.00008773804,255,157,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),111652.79999999888,box1,yes,I,1,2,1949.2999999988824,109703.5,8006,DSST,A,109489.0,110129.0,108180.0,9,160,113
),10,1,25.698999881744385,3,test,yes,1,3,94301.00011825562,340,149,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),114535.29999999888,box3,yes,I,1,2,2868.4000000003725,111666.89999999851,8006,DSST,A,112486.0,113011.0,110143.0,10,160,113
T,11,1,28.197999954223633,2,test,yes,1,2,91802.00004577637,291,141,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),117034.39999999851,box2,yes,I,1,2,2484.39999999851,114550.0,8006,DSST,A,114735.0,115510.0,113026.0,11,160,113
-,12,1,30.264999866485596,1,test,yes,1,1,89735.0001335144,309,157,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),119100.59999999963,box1,yes,I,1,2,2051.5,117049.09999999963,8006,DSST,A,116851.0,117577.0,115525.0,12,160,113
L,13,1,32.54699993133545,4,test,yes,1,4,87453.00006866455,245,134,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),121383.09999999963,box4,yes,I,1,2,2267.800000000745,119115.29999999888,8006,DSST,A,119301.0,119859.0,117591.0,13,160,113
T,14,1,35.12899994850159,2,test,yes,1,2,84871.00005149841,290,152,Thu Dec 12 2024 17:44:52 GMT-0600 (Central Standard Time),123965.5,box2,yes,I,1,2,2567.9000000003725,121397.59999999963,8006,DSST,A,121784.0,122441.0,119874.0,14,160,113
