acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
1,prac,1,1,,-334,-241,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,-192,65394.700000000186,CFD-BM-224-073-N.jpg,Sam,64,I,1,2232,,2232,,,1,1,3234.7999999998137,-416,-256,62159.90000000037,8006,FN,B,,57622,,,1,192,-320,-224
2,prac,1,1,,308,0,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,32,68160.70000000019,CFD-WM-227-099-N.jpg,John,64,I,1,1743,,1743,,,2,1,2763.100000000559,224,-32,65397.59999999963,8006,FN,B,,60871,,,2,192,320,0
3,prac,1,1,,-320,232,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,70143.29999999981,CFD-LF-232-199-N.jpg,Tina,64,I,1,961,,961,,,3,1,1980.5,-416,192,68162.79999999981,8006,FN,B,,63637,,,3,192,-320,224
4,prac,1,1,,322,-245,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,-192,72109.5,CFD-BM-224-073-N.jpg,Sam,64,I,1,938,,938,,,4,1,1964.0999999996275,224,-256,70145.40000000037,8006,FN,B,,65620,,,4,192,320,-224
5,prac,1,1,,-326,20,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,74008.70000000019,CFD-WM-227-099-N.jpg,John,64,I,1,876,,876,,,5,1,1897.1000000005588,-416,-32,72111.59999999963,8006,FN,B,,67586,,,5,192,-320,0
6,prac,1,1,,328,223,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,76441.29999999981,CFD-LF-232-199-N.jpg,Tina,64,I,1,1408,,1408,,,6,1,2430.7999999998137,224,192,74010.5,8006,FN,B,,69486,,,6,192,320,224
1,prac_test,1,1,z,328,223,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,100350.40000000037,CFD-LF-232-199-N.jpg,Tina,64,I,z,1393,,,1393,,3,1,3172.9000000003725,224,192,97177.5,8006,FN,B,,,92645,,1,192,320,224
1,prac_test,1,0,m,328,223,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,104282.90000000037,CFD-WM-227-099-N.jpg,Sam,64,I,z,2139,,,2139,,1,1,3924.800000000745,224,192,100358.09999999963,8006,FN,B,,,95827,,2,192,320,224
2,prac_test,1,1,m,328,223,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,107298.59999999963,CFD-BM-224-073-N.jpg,John,64,I,m,1223,,,1223,,2,1,3007.2999999998137,224,192,104291.29999999981,8006,FN,B,,,99759,,3,192,320,224
1,learn,1,1,,333,-236,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,-192,145353.2000000002,CFD-BM-209-088-N.jpg,George,64,I,1,1592,1592,,,,4,1,2614.2000000001863,224,-256,142739.0,8006,FN,B,138214,,,,1,192,320,-224
2,learn,1,1,,333,-236,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,-192,147885.5,CFD-WM-208-068-N.jpg,Carl,64,I,1,1512,1512,,,,22,1,2530.0,224,-256,145355.5,8006,FN,B,140830,,,,2,192,320,-224
3,learn,1,1,,-325,226,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,150834.40000000037,CFD-BF-200-080-N.jpg,Lisa,64,I,1,1932,1932,,,,9,1,2946.7000000001863,-416,192,147887.7000000002,8006,FN,B,143362,,,,3,192,-320,224
4,learn,1,1,,-317,219,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,153333.7999999998,CFD-LM-243-075-N.jpg,Robert,64,I,1,1470,1470,,,,39,1,2497.399999999441,-416,192,150836.40000000037,8006,FN,B,146311,,,,4,192,-320,224
5,learn,1,1,,-357,19,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,155833.2000000002,CFD-WM-238-020-N.jpg,Chris,64,I,1,1467,1467,,,,20,1,2497.7999999998137,-416,-32,153335.40000000037,8006,FN,B,148810,,,,5,192,-320,0
6,learn,1,1,,-330,222,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,158715.5,CFD-WM-208-068-N.jpg,Carl,64,I,1,1856,1856,,,,21,1,2880.4000000003725,-416,192,155835.09999999963,8006,FN,B,151310,,,,6,192,-320,224
7,learn,1,1,,-354,2,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,160781.40000000037,CFD-BF-247-179-N.jpg,Emily,64,I,1,1037,1037,,,,14,1,2063.800000000745,-416,-32,158717.59999999963,8006,FN,B,154193,,,,7,192,-320,0
8,learn,1,1,,363,237,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,163080.7000000002,CFD-LF-234-139-N.jpg,Helen,64,I,1,1267,1267,,,,48,1,2297.4000000003725,224,192,160783.2999999998,8006,FN,B,156258,,,,8,192,320,224
9,learn,1,1,,327,-232,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,-192,165113.40000000037,CFD-LF-244-096-N.jpg,Irene,64,I,1,1001,1001,,,,46,1,2030.300000000745,224,-256,163083.09999999963,8006,FN,B,158557,,,,9,192,320,-224
10,learn,1,1,,288,-224,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,-192,166946.2999999998,CFD-BF-253-202-N.jpg,Lucy,64,I,1,816,816,,,,16,1,1830.7000000001863,224,-256,165115.59999999963,8006,FN,B,160590,,,,10,192,320,-224
11,learn,1,1,,-338,-222,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,-192,169129.0,CFD-WM-238-020-N.jpg,Chris,64,I,1,1151,1151,,,,19,1,2181.2999999998137,-416,-256,166947.7000000002,8006,FN,B,162423,,,,11,192,-320,-224
12,learn,1,1,,-319,-222,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,-192,172012.40000000037,CFD-BF-247-179-N.jpg,Emily,64,I,1,1864,1864,,,,13,1,2881.9000000003725,-416,-256,169130.5,8006,FN,B,164606,,,,12,192,-320,-224
13,learn,1,1,,-315,218,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,174560.5,CFD-WF-235-121-N.jpg,Kate,64,I,1,1526,1526,,,,27,1,2545.9000000003725,-416,192,172014.59999999963,8006,FN,B,167488,,,,13,192,-320,224
14,learn,1,1,,-313,223,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,176476.5,CFD-LM-226-175-N.jpg,Peter,64,I,1,889,889,,,,33,1,1913.9000000003725,-416,192,174562.59999999963,8006,FN,B,170037,,,,14,192,-320,224
15,learn,1,1,,-318,-1,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,178492.59999999963,CFD-LM-247-095-N.jpg,Richard,64,I,1,989,989,,,,38,1,2014.0999999996275,-416,-32,176478.5,8006,FN,B,171953,,,,15,192,-320,0
16,learn,1,1,,-318,218,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,182391.2999999998,CFD-BM-209-088-N.jpg,George,64,I,1,2877,2877,,,,3,1,3897.2000000001863,-416,192,178494.09999999963,8006,FN,B,173969,,,,16,192,-320,224
17,learn,1,1,,351,233,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,184692.2000000002,CFD-LF-253-003-N.jpg,Jane,64,I,1,1274,1274,,,,42,1,2299.5,224,192,182392.7000000002,8006,FN,B,177868,,,,17,192,320,224
18,learn,1,1,,327,220,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,187306.5,CFD-LM-216-082-N.jpg,Jack,64,I,1,1590,1590,,,,36,1,2612.5,224,192,184694.0,8006,FN,B,180168,,,,18,192,320,224
19,learn,1,1,,-337,0,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,189722.40000000037,CFD-WF-216-079-N.jpg,Rachel,64,I,1,1382,1382,,,,32,1,2413.300000000745,-416,-32,187309.09999999963,8006,FN,B,182784,,,,19,192,-320,0
20,learn,1,1,,-331,5,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,193088.2000000002,CFD-LF-247-051-N.jpg,Cindy,64,I,1,2343,2343,,,,44,1,3364.2000000001863,-416,-32,189724.0,8006,FN,B,185199,,,,20,192,-320,0
21,learn,1,1,,320,227,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,195320.7000000002,CFD-WM-239-128-N.jpg,Mike,64,I,1,1197,1197,,,,24,1,2230.7999999998137,224,192,193089.90000000037,8006,FN,B,188569,,,,21,192,320,224
22,learn,1,1,,360,-224,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,-192,198019.7999999998,CFD-LM-243-075-N.jpg,Robert,64,I,1,1673,1673,,,,40,1,2697.0,224,-256,195322.7999999998,8006,FN,B,190797,,,,22,192,320,-224
23,learn,1,1,,-298,-245,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,-192,200269.09999999963,CFD-LF-247-051-N.jpg,Cindy,64,I,1,1222,1222,,,,43,1,2247.5,-416,-256,198021.59999999963,8006,FN,B,193496,,,,23,192,-320,-224
24,learn,1,1,,-312,5,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,202601.7999999998,CFD-WF-210-086-N.jpg,Julie,64,I,1,1308,1308,,,,26,1,2330.7000000001863,-416,-32,200271.09999999963,8006,FN,B,195746,,,,24,192,-320,0
25,learn,1,1,,283,218,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),416,256,204817.7000000002,CFD-BM-012-018-N.jpg,Brian,64,I,1,1192,1192,,,,6,1,2214.0,224,192,202603.7000000002,8006,FN,B,198078,,,,25,192,320,224
26,learn,1,1,,-304,-235,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,-192,206967.09999999963,CFD-WF-210-086-N.jpg,Julie,64,I,1,1120,1120,,,,25,1,2147.5999999996275,-416,-256,204819.5,8006,FN,B,200294,,,,26,192,-320,-224
27,learn,1,1,,-288,-214,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,-192,208966.2999999998,CFD-WF-216-079-N.jpg,Rachel,64,I,1,932,932,,,,31,1,1997.5,-416,-256,206968.7999999998,8006,FN,B,202490,,,,27,192,-320,-224
28,learn,1,1,,-313,-5,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,32,210882.5,CFD-BM-234-172-N.jpg,Mark,64,I,1,891,891,,,,2,1,1914.7000000001863,-416,-32,208967.7999999998,8006,FN,B,204443,,,,28,192,-320,0
29,learn,1,1,,-286,-218,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,-192,212831.7999999998,CFD-BM-211-174-N.jpg,David,64,I,1,919,919,,,,7,1,1947.0,-416,-256,210884.7999999998,8006,FN,B,206359,,,,29,192,-320,-224
30,learn,1,1,,-319,223,Fri Sep 20 2024 18:04:38 GMT-0500 (Central Daylight Time),-224,256,214881.2000000002,CFD-BF-253-202-N.jpg,Lucy,64,I,1,1025,1025,,,,15,1,2047.9000000003725,-416,192,212833.2999999998,8006,FN,B,208309,,,,30,192,-320,224
