Q,Q1,Q2,Q3,Q4,acc_sum,block,block_c,correct,correct_response,datetime,endtime,project,response,response_time,row_sel,session_number,squiggle1,squiggle1x,squiggle1y,squiggle2,squiggle2x,squiggle2y,squiggle3,squiggle3x,squiggle3y,squiggle4,squiggle4x,squiggle4y,start_end,starttime,subject_id,target_congruent,task,task_vers,testsquiggle,testsquigglex,testsquiggley,time_practice_delay,time_practice_fixation,time_practice_stimuli,time_practice_study,time_test_delay,time_test_fixation,time_test_stimuli,time_test_study,trial
1,1,0,0,0,0,prac,1,0,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),673089.700000003,I,None,2014,1,2,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10827.30000000447,662262.3999999985,8008,yes,SM,C,66.bmp,-120,-120,177525,171497,179543,173512,,,,,1
3,0,0,1,0,1,prac,1,1,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),683420.0,I,m,1529,2,2,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10326.0,673094.0,8008,no,SM,C,73.bmp,-120,120,188347,182328,190356,184341,,,,,2
4,0,0,0,1,1,prac,1,0,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),693950.1000000015,I,z,1702,3,2,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10526.79999999702,683423.3000000045,8008,no,SM,C,74.bmp,120,120,198685,192657,200703,194671,,,,,3
2,0,1,0,0,1,prac,1,0,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),704779.8000000045,I,None,2015,4,2,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10826.30000000447,693953.5,8008,yes,SM,C,79.bmp,120,-120,209215,203188,211233,205201,,,,,4
3,0,0,1,0,1,prac,1,0,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),715393.3000000045,I,m,1782,5,2,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,10609.80000000447,704783.5,8008,yes,SM,C,84.bmp,-120,120,220045,214018,222063,216031,,,,,5
1,1,0,0,0,1,prac,1,0,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),725623.3000000045,I,z,1408,6,2,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10226.60000000149,715396.700000003,8008,no,SM,C,89.bmp,-120,-120,230659,224631,232676,226644,,,,,6
2,0,1,0,0,1,prac,1,0,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),736219.8999999985,I,z,1770,7,2,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10591.89999999851,725628.0,8008,no,SM,C,90.bmp,120,-120,240889,234862,242906,236875,,,,,7
4,0,0,0,1,2,prac,1,1,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),746300.3999999985,I,z,1254,8,2,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10077.09999999404,736223.3000000045,8008,yes,SM,C,97.bmp,120,120,251486,245458,253503,247471,,,,,8
1,1,0,0,0,0,prac,2,0,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),762928.5,I,m,1974,1,2,66.bmp,-120,-120,67.bmp,120,-120,68.bmp,-120,120,69.bmp,120,120,10794.39999999851,752134.1000000015,8008,yes,SM,C,66.bmp,-120,-120,267397,261368,269415,263383,,,,,1
3,0,0,1,0,0,prac,2,0,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),773119.8999999985,I,z,1289,2,2,70.bmp,-120,-120,71.bmp,120,-120,72.bmp,-120,120,73.bmp,120,120,10187.59999999404,762932.3000000045,8008,no,SM,C,73.bmp,-120,120,278194,272167,280212,274180,,,,,2
4,0,0,0,1,1,prac,2,1,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),783355.5,I,m,1413,3,2,74.bmp,-120,-120,75.bmp,120,-120,76.bmp,-120,120,77.bmp,120,120,10231.79999999702,773123.700000003,8008,no,SM,C,74.bmp,120,120,288390,282358,290408,284376,,,,,3
2,0,1,0,0,2,prac,2,1,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),793735.3000000045,I,z,1557,4,2,78.bmp,-120,-120,79.bmp,120,-120,80.bmp,-120,120,81.bmp,120,120,10376.0,783359.3000000045,8008,yes,SM,C,79.bmp,120,-120,298621,292593,300639,294607,,,,,4
3,0,0,1,0,3,prac,2,1,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),803982.3000000045,I,z,1418,5,2,82.bmp,-120,-120,83.bmp,120,-120,84.bmp,-120,120,85.bmp,120,120,10243.80000000447,793738.5,8008,yes,SM,C,84.bmp,-120,120,309001,302973,311019,304987,,,,,5
1,1,0,0,0,4,prac,2,1,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),814695.5,I,m,1892,6,2,86.bmp,-120,-120,87.bmp,120,-120,88.bmp,-120,120,89.bmp,120,120,10709.5,803986.0,8008,no,SM,C,89.bmp,-120,-120,319248,313220,321265,315234,,,,,6
2,0,1,0,0,5,prac,2,1,m,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),824975.700000003,I,m,1450,7,2,90.bmp,-120,-120,91.bmp,120,-120,92.bmp,-120,120,93.bmp,120,120,10277.10000000149,814698.6000000015,8008,no,SM,C,90.bmp,120,-120,329961,323933,331979,325947,,,,,7
4,0,0,0,1,6,prac,2,1,z,Thu Jan 09 2025 14:19:28 GMT-0600 (Central Standard Time),835305.700000003,I,z,1506,8,2,94.bmp,-120,-120,95.bmp,120,-120,96.bmp,-120,120,97.bmp,120,120,10326.80000000447,824978.8999999985,8008,yes,SM,C,97.bmp,120,120,340241,334213,342259,336227,,,,,8
