block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,2.3489999771118164,delay,57651.00002288818,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),28090.5,A,bookenter,I,enter,544,1,2348.699999809265,25741.800000190735,8012,DWL,A,1
8,4.930999994277954,delay,55069.000005722046,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),30673.200000047684,A,flowerenter,I,enter,1019,1,2581.899999856949,28091.300000190735,8012,DWL,A,2
8,6.430999994277954,delay,53569.000005722046,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),32172.60000014305,A,rugenter,I,enter,399,1,1498.7999999523163,30673.800000190735,8012,DWL,A,3
8,7.996999979019165,delay,52003.000020980835,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),33738.700000047684,A,trainenter,I,enter,327,1,1565.5,32173.200000047684,8012,DWL,A,4
8,10.11300015449524,delay,49886.99984550476,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),35854.800000190735,A,meadowenter,I,enter,1005,1,2115.7000000476837,33739.10000014305,8012,DWL,A,5
8,12.628999948501587,delay,47371.00005149841,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),38370.700000047684,A,harpenter,I,enter,551,1,2515.399999856949,35855.300000190735,8012,DWL,A,6
8,14.245000123977661,delay,45754.99987602234,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),39986.800000190735,A,fingerenter,I,enter,411,1,1615.6000001430511,38371.200000047684,8012,DWL,A,7
8,15.59500002861023,delay,44404.99997138977,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),41336.5,A,appleenter,I,enter,379,1,1349.2999999523163,39987.200000047684,8012,DWL,A,8
8,17.194000005722046,delay,42805.999994277954,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),42936.10000014305,A,saltenter,I,enter,463,1,1599.1000001430511,41337.0,8012,DWL,A,9
8,21.092999935150146,delay,38907.00006484985,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),46834.60000014305,A,chimneyenter,I,enter,976,1,3898.0,42936.60000014305,8012,DWL,A,10
8,22.39199995994568,delay,37608.00004005432,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),48134.200000047684,A,logenter,I,enter,298,1,1299.2999999523163,46834.90000009537,8012,DWL,A,11
8,24.075000047683716,delay,35924.999952316284,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),49817.10000014305,A,buttonenter,I,enter,270,1,1682.5,48134.60000014305,8012,DWL,A,12
8,25.442000150680542,delay,34557.99984931946,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),51183.40000009537,A,keyenter,I,enter,305,1,1366.0,49817.40000009537,8012,DWL,A,13
8,27.308000087738037,delay,32691.999912261963,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),53049.40000009537,A,rattleenter,I,enter,268,1,1865.5999999046326,51183.800000190735,8012,DWL,A,14
8,28.789999961853027,delay,31210.000038146973,Wed Jan 08 2025 11:58:56 GMT-0600 (Central Standard Time),54532.200000047684,A,goldenter,I,enter,308,1,1482.3999998569489,53049.800000190735,8012,DWL,A,15
