acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),41997.0,I,m,1188,,,2,no,1,2712.600000143051,39284.39999985695,practrial2.png,practrial2b.png,8012,PC,A,,,1
2,1,0.0,prac,1,z,30000.0,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),44262.699999809265,I,z,741,,,3,yes,1,2260.699999809265,42002.0,practrial3.png,practrial3.png,8012,PC,A,,,2
3,1,0.0,prac,1,z,30000.0,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),46495.39999985695,I,z,694,,,1,yes,1,2228.899999856949,44266.5,practrial1.png,practrial1.png,8012,PC,A,,,3
4,1,0.0,prac,1,z,30000.0,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),48744.699999809265,I,z,717,,,5,yes,1,2245.5,46499.199999809265,practrial5.png,practrial5.png,8012,PC,A,,,4
4,1,0.0,prac,0,m,30000.0,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),51077.299999952316,I,z,803,,,4,no,1,2329.0,48748.299999952316,practrial4.png,practrial4b.png,8012,PC,A,,,5
5,1,0.0,prac,1,m,30000.0,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),54609.59999990463,I,m,1998,,,6,no,1,3528.4000000953674,51081.199999809265,practrial6.png,practrial6b.png,8012,PC,A,,,6
1,1,2.365999937057495,test,1,z,27634.000062942505,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),72304.09999990463,I,z,2347,2347,,1,yes,1,2363.5999999046326,69940.5,test1trial1.png,test1trial1.png,8012,PC,A,68211,,1
2,1,3.248999834060669,test,1,m,26751.00016593933,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),73187.0,I,m,877,877,,2,no,1,879.7000000476837,72307.29999995232,test1trial2.png,test1trial2b.png,8012,PC,A,70578,,2
3,1,4.680999994277954,test,1,z,25319.000005722046,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),74619.79999995232,I,z,1418,1418,,3,yes,1,1430.0,73189.79999995232,test1trial3.png,test1trial3.png,8012,PC,A,71460,,3
4,1,5.697999954223633,test,1,m,24302.000045776367,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),75636.0,I,m,1002,1002,,4,no,1,1013.5,74622.5,test1trial4.png,test1trial4b.png,8012,PC,A,72893,,4
5,1,6.980999946594238,test,1,z,23019.00005340576,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),76919.09999990463,I,z,1274,1274,,5,yes,1,1280.2000000476837,75638.89999985695,test1trial5.png,test1trial5.png,8012,PC,A,73909,,5
6,1,8.013999938964844,test,1,m,21986.000061035156,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),77952.19999980927,I,m,1023,1023,,6,no,1,1030.2999999523163,76921.89999985695,test1trial6.png,test1trial6b.png,8012,PC,A,75192,,6
7,1,8.96399998664856,test,1,z,21036.00001335144,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),78901.89999985695,I,z,941,941,,7,yes,1,946.8999998569489,77955.0,test1trial7.png,test1trial7.png,8012,PC,A,76226,,7
8,1,10.395999908447266,test,1,m,19604.000091552734,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),80334.89999985695,I,m,1415,1415,,8,no,1,1430.0,78904.89999985695,test1trial8.png,test1trial8b.png,8012,PC,A,77175,,8
9,1,11.578999996185303,test,1,z,18421.000003814697,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),81517.69999980927,I,z,1166,1166,,9,yes,1,1180.2999999523163,80337.39999985695,test1trial9.png,test1trial9.png,8012,PC,A,78607,,9
10,1,12.796000003814697,test,1,m,17203.999996185303,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),82733.89999985695,I,m,1207,1207,,10,no,1,1213.3999998569489,81520.5,test1trial10.png,test1trial10b.png,8012,PC,A,79791,,10
11,1,13.928999900817871,test,1,z,16071.000099182129,Wed Jan 08 2025 11:54:21 GMT-0600 (Central Standard Time),83867.09999990463,I,z,1112,1112,,11,yes,1,1130.2000000476837,82736.89999985695,test1trial11.png,test1trial11.png,8012,PC,A,81007,,11
