Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,361,157,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),,box1,yes,I,1,1,,,8016,DSST,C,,,,0,160,113
+,1,1,0.0,9,prac,yes,1,9,120000.0,295,154,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),66543.40000000596,box9,yes,I,1,1,6679.70000000298,59863.70000000298,8016,DSST,C,,,,1,160,113
-,2,1,0.0,1,prac,yes,1,1,120000.0,337,121,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),70058.90000000596,box1,yes,I,1,1,2731.6000000089407,67327.29999999702,8016,DSST,C,,,,2,160,113
T,3,1,0.0,2,prac,yes,1,2,120000.0,264,136,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),73691.20000000298,box2,yes,I,1,1,2856.5,70834.70000000298,8016,DSST,C,,,,3,160,113
L,4,1,0.0,4,prac,yes,1,4,120000.0,333,151,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),77989.90000000596,box4,yes,I,1,1,3523.1000000089407,74466.79999999702,8016,DSST,C,,,,4,160,113
U,5,1,0.0,5,prac,yes,1,5,120000.0,296,152,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),81938.40000000596,box5,yes,I,1,1,3173.7000000029802,78764.70000000298,8016,DSST,C,,,,5,160,113
^,6,1,0.0,7,prac,yes,1,7,120000.0,263,154,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),85970.60000000894,box7,yes,I,1,1,3257.6000000089407,82713.0,8016,DSST,C,,,,6,160,113
X,7,1,0.0,8,prac,yes,1,8,120000.0,288,152,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),89919.40000000596,box8,yes,I,1,1,3174.6000000089407,86744.79999999702,8016,DSST,C,,,,7,160,113
),8,1,0.0,3,prac,yes,1,3,120000.0,260,148,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),94851.90000000596,box3,yes,I,1,1,4158.100000008941,90693.79999999702,8016,DSST,C,,,,8,160,113
O,9,1,0.0,6,prac,yes,1,6,120000.0,221,150,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),99716.5,box6,yes,I,1,1,4090.2000000029802,95626.29999999702,8016,DSST,C,,,,9,160,113
T,1,1,3.80400013923645,2,test,yes,1,2,116195.99986076355,222,148,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),120426.79999999702,box2,yes,I,1,1,3792.7999999970198,116634.0,8016,DSST,C,117921.0,118748.0,114955.0,1,160,113
-,2,1,6.288000106811523,1,test,yes,1,1,113711.99989318848,256,143,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),122909.70000000298,box1,yes,I,1,1,2468.0999999940395,120441.60000000894,8016,DSST,C,120336.0,121231.0,118762.0,2,160,113
),3,1,9.43500018119812,3,test,yes,1,3,110564.99981880188,269,152,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),126058.70000000298,box3,yes,I,1,1,3135.2999999970198,122923.40000000596,8016,DSST,C,123670.0,124380.0,121244.0,3,160,113
^,4,1,12.867000102996826,7,test,yes,1,7,107132.99989700317,245,147,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),129490.79999999702,box7,yes,I,1,1,3420.0999999940395,126070.70000000298,8016,DSST,C,127118.0,127812.0,124392.0,4,160,113
T,5,1,16.216000080108643,2,test,yes,1,2,103783.99991989136,259,137,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),132839.60000000894,box2,yes,I,1,1,3334.9000000059605,129504.70000000298,8016,DSST,C,130534.0,131161.0,127826.0,5,160,113
L,6,1,18.91600012779236,4,test,yes,1,4,101083.99987220764,264,147,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),135540.0,box4,yes,I,1,1,2688.3999999910593,132851.60000000894,8016,DSST,C,133265.0,133861.0,131173.0,6,160,113
X,7,1,22.19700002670288,8,test,yes,1,8,97802.99997329712,325,143,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),138820.90000000596,box8,yes,I,1,1,3269.2000000029802,135551.70000000298,8016,DSST,C,136215.0,137142.0,133873.0,7,160,113
T,8,1,25.328999996185303,2,test,yes,1,2,94671.0000038147,301,151,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),141953.40000000596,box2,yes,I,1,1,3120.4000000059605,138833.0,8016,DSST,C,139381.0,140274.0,137154.0,8,160,113
-,9,1,27.795000076293945,1,test,yes,1,1,92204.99992370605,276,128,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),144419.10000000894,box1,yes,I,1,1,2454.1000000089407,141965.0,8016,DSST,C,142063.0,142740.0,140286.0,9,160,113
),10,1,30.794000148773193,3,test,yes,1,3,89205.9998512268,340,155,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),147418.5,box3,yes,I,1,1,2988.7999999970198,144429.70000000298,8016,DSST,C,145095.0,145739.0,142751.0,10,160,113
T,11,1,34.12700009346008,2,test,yes,1,2,85872.99990653992,321,140,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),150750.79999999702,box2,yes,I,1,1,3321.5999999940395,147429.20000000298,8016,DSST,C,148294.0,149072.0,145750.0,11,160,113
-,12,1,36.80900001525879,1,test,yes,1,1,83190.99998474121,228,137,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),153433.20000000298,box1,yes,I,1,1,2671.5999999940395,150761.60000000894,8016,DSST,C,151143.0,151754.0,149083.0,12,160,113
L,13,1,39.69099998474121,4,test,yes,1,4,80309.00001525879,272,147,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),156315.60000000894,box4,yes,I,1,1,2870.6000000089407,153445.0,8016,DSST,C,154025.0,154636.0,151766.0,13,160,113
T,14,1,42.59100008010864,2,test,yes,1,2,77408.99991989136,260,151,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),159214.79999999702,box2,yes,I,1,1,2886.0999999940395,156328.70000000298,8016,DSST,C,156958.0,157536.0,154650.0,14,160,113
),15,1,45.67300009727478,3,test,yes,1,3,74326.99990272522,229,137,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),162297.0,box3,yes,I,1,1,3071.2000000029802,159225.79999999702,8016,DSST,C,159574.0,160618.0,157547.0,15,160,113
U,16,1,48.33899998664856,5,test,yes,1,5,71661.00001335144,197,148,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),164963.10000000894,box5,yes,I,1,1,2654.4000000059605,162308.70000000298,8016,DSST,C,162607.0,163284.0,160630.0,16,160,113
T,17,1,50.9210000038147,2,test,yes,1,2,69078.9999961853,241,137,Tue Feb 18 2025 15:43:47 GMT-0600 (Central Standard Time),167545.0,box2,yes,I,1,1,2570.5999999940395,164974.40000000596,8016,DSST,C,165039.0,165866.0,163295.0,17,160,113
