block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,2.7309999465942383,delay,57269.00005340576,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),26874.69999998808,A,cityenter,I,enter,303,2,2730.2999999523163,24144.400000035763,8017,DWL,B,1
8,3.9809999465942383,delay,56019.00005340576,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),28125.0,A,streetenter,I,enter,162,2,1249.3999999761581,26875.600000023842,8017,DWL,B,2
8,6.750999927520752,delay,53249.00007247925,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),30895.100000023842,A,grassenter,I,enter,222,2,2769.600000023842,28125.5,8017,DWL,B,3
8,8.346999883651733,delay,51653.00011634827,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),32490.80000001192,A,lakeenter,I,enter,160,2,1594.800000011921,30896.0,8017,DWL,B,4
8,9.729000091552734,delay,50270.999908447266,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),33873.30000001192,A,cabinenter,I,enter,332,2,1382.0,32491.30000001192,8017,DWL,B,5
8,11.59500002861023,delay,48404.99997138977,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),35738.80000001192,A,fireenter,I,enter,472,2,1865.199999988079,33873.60000002384,8017,DWL,B,6
8,14.34500002861023,delay,45654.99997138977,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),38488.5,A,windowenter,I,enter,100,2,2749.399999976158,35739.10000002384,8017,DWL,B,7
8,15.259999990463257,delay,44740.00000953674,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),39403.5,A,doorenter,I,enter,245,2,914.5,38489.0,8017,DWL,B,8
8,17.51099991798401,delay,42489.00008201599,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),41654.90000003576,A,wifeenter,I,enter,432,2,2251.0,39403.90000003576,8017,DWL,B,9
8,18.64299988746643,delay,41357.00011253357,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),42787.19999998808,A,armenter,I,enter,503,2,1132.0,41655.19999998808,8017,DWL,B,10
8,21.54200005531311,delay,38457.99994468689,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),45685.90000003576,A,pipeenter,I,enter,401,2,2898.300000011921,42787.60000002384,8017,DWL,B,11
8,23.624000072479248,delay,36375.99992752075,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),47768.19999998808,A,clockenter,I,enter,582,2,2082.099999964237,45686.10000002384,8017,DWL,B,12
8,25.556999921798706,delay,34443.000078201294,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),49700.90000003576,A,starenter,I,enter,261,2,1932.4000000357628,47768.5,8017,DWL,B,13
8,27.073999881744385,delay,32926.000118255615,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),51217.5,A,pupilenter,I,enter,409,2,1516.300000011921,49701.19999998808,8017,DWL,B,14
8,30.473000049591064,delay,29526.999950408936,Tue Apr 08 2025 15:48:36 GMT-0500 (Central Daylight Time),54617.80000001192,A,fireenter,I,enter,285,2,3400.0,51217.80000001192,8017,DWL,B,15
