block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),,,,I,space,416,1,,,8017,WL,A,
prac,,0,,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),,NA,b,I,b,14723,1,,,8017,WL,A,1.0
prac,,0,,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),,NA,bo,I,o,124,1,,,8017,WL,A,1.0
prac,,0,,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),,NA,boo,I,o,176,1,,,8017,WL,A,1.0
prac,,0,,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),,NA,boos,I,s,90,1,,,8017,WL,A,1.0
prac,,0,,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),,NA,boost,I,t,149,1,,,8017,WL,A,1.0
prac,,0,,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),,NA,boostenter,I,enter,2373,1,,,8017,WL,A,1.0
1,1.1670000553131104,learn,58832.99994468689,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),147328.6000000015,A,r,I,r,1144,1,1166.0,146162.6000000015,8017,WL,A,1.0
1,1.9500000476837158,learn,58049.999952316284,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),148111.70000000298,A,ru,I,u,761,1,1949.1000000014901,146162.6000000015,8017,WL,A,1.0
1,2.1660001277923584,learn,57833.99987220764,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),148328.20000000298,A,rug,I,g,194,1,2165.60000000149,146162.6000000015,8017,WL,A,1.0
1,6.9649999141693115,learn,53035.00008583069,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),153126.6000000015,A,rugenter,I,enter,4778,1,6964.0,146162.6000000015,8017,WL,A,1.0
1,8.13100004196167,learn,51868.99995803833,Thu Jan 23 2025 15:04:24 GMT-0600 (Central Standard Time),154293.0,A,b,I,b,1148,1,1165.8999999985099,153127.1000000015,8017,WL,A,2.0
