acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
1,prac,1,A,haborder.png,1,m,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),47596.40000000596,CFD-WM-028-005-HC.jpg,1400,solid,I,m,800,7,2,3027.800000011921,44568.59999999404,8019,ATS,C,1
2,prac,1,A,haborder.png,1,m,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),50601.09999999404,CFD-WF-013-009-HC.jpg,1500,solid,I,m,708,11,2,6032.5,44568.59999999404,8019,ATS,C,2
3,prac,1,A,haborder.png,1,m,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),53682.19999998808,CFD-WM-035-036-HC.jpg,1700,solid,I,m,589,9,2,9113.59999999404,44568.59999999404,8019,ATS,C,3
4,prac,1,A,haborder.png,1,m,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),56648.40000000596,CFD-BM-022-004-HC.jpg,1500,solid,I,m,667,3,2,12079.800000011921,44568.59999999404,8019,ATS,C,4
5,prac,1,A,haborder.png,1,z,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),59980.30000001192,CFD-WM-036-018-A.jpg,1900,solid,I,z,645,8,2,15411.700000017881,44568.59999999404,8019,ATS,C,5
6,prac,1,A,haborder.png,1,z,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),62379.59999999404,CFD-BF-031-020-A.jpg,1000,solid,I,z,605,4,2,17811.0,44568.59999999404,8019,ATS,C,6
7,prac,1,A,haborder.png,1,z,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),65028.90000000596,CFD-BF-002-018-A.jpg,1200,solid,I,z,654,6,2,20460.30000001192,44568.59999999404,8019,ATS,C,7
8,prac,1,A,haborder.png,1,m,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),68610.90000000596,CFD-BM-034-035-HC.jpg,1700,solid,I,m,1097,1,2,24042.30000001192,44568.59999999404,8019,ATS,C,8
9,prac,1,A,haborder.png,1,z,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),71510.09999999404,CFD-WF-037-016-A.jpg,1600,solid,I,z,502,10,2,26941.5,44568.59999999404,8019,ATS,C,9
10,prac,1,A,haborder.png,1,m,Tue Apr 22 2025 18:01:26 GMT-0500 (Central Daylight Time),74975.69999998808,CFD-BF-019-004-HC.jpg,2000,solid,I,m,675,5,2,30407.09999999404,44568.59999999404,8019,ATS,C,10
