acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),42762.7999997139,I,m,1836,,,6,no,1,3359.0,39403.7999997139,practrial6.png,practrial6b.png,8019,PC,A,,,1
2,1,0.0,prac,1,z,30000.0,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),45427.39999961853,I,z,1132,,,3,yes,1,2656.2999997138977,42771.09999990463,practrial3.png,practrial3.png,8019,PC,A,,,2
3,1,0.0,prac,1,m,30000.0,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),48361.7999997139,I,m,1399,,,4,no,1,2929.199999809265,45432.59999990463,practrial4.png,practrial4b.png,8019,PC,A,,,3
4,1,0.0,prac,1,z,30000.0,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),50893.199999809265,I,z,1000,,,1,yes,1,2526.199999809265,48367.0,practrial1.png,practrial1.png,8019,PC,A,,,4
5,1,0.0,prac,1,z,30000.0,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),53693.699999809265,I,z,1262,,,5,yes,1,2795.0,50898.699999809265,practrial5.png,practrial5.png,8019,PC,A,,,5
6,1,0.0,prac,1,m,30000.0,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),56291.7999997139,I,m,1070,,,2,no,1,2593.0,53698.7999997139,practrial2.png,practrial2b.png,8019,PC,A,,,6
1,1,1.4689998626708984,test,1,z,28531.0001373291,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),69155.39999961853,I,z,1465,1465,,1,yes,1,1466.2999997138977,67689.09999990463,test1trial1.png,test1trial1.png,8019,PC,A,62400,,1
2,1,2.5839998722076416,test,1,m,27416.00012779236,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),70270.69999980927,I,m,1097,1097,,2,no,1,1112.1999998092651,69158.5,test1trial2.png,test1trial2b.png,8019,PC,A,63870,,2
3,1,3.5839998722076416,test,1,z,26416.00012779236,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),71271.0,I,z,990,990,,3,yes,1,996.7000002861023,70274.2999997139,test1trial3.png,test1trial3.png,8019,PC,A,64986,,3
4,1,4.58299994468689,test,1,m,25417.00005531311,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),72270.09999990463,I,m,981,981,,4,no,1,995.8000001907349,71274.2999997139,test1trial4.png,test1trial4b.png,8019,PC,A,65986,,4
5,1,5.631999969482422,test,1,z,24368.000030517578,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),73319.19999980927,I,z,1029,1029,,5,yes,1,1045.0,72274.19999980927,test1trial5.png,test1trial5.png,8019,PC,A,66986,,5
6,1,6.7159998416900635,test,1,m,23284.000158309937,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),74403.2999997139,I,m,1077,1077,,6,no,1,1080.0,73323.2999997139,test1trial6.png,test1trial6b.png,8019,PC,A,68035,,6
7,1,7.948999881744385,test,1,z,22051.000118255615,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),75636.0,I,z,1217,1217,,7,yes,1,1229.3000001907349,74406.69999980927,test1trial7.png,test1trial7.png,8019,PC,A,69119,,7
7,1,8.948999881744385,test,0,m,21051.000118255615,Mon Jan 27 2025 19:11:17 GMT-0600 (Central Standard Time),76636.19999980927,I,z,985,985,,8,no,1,996.9000000953674,75639.2999997139,test1trial8.png,test1trial8b.png,8019,PC,A,70351,,8
