acc_sum,block,block_c,condition,correct,correct_response,datetime,endtime,flanker,jitter,project,response,response_test_buffer_response,response_test_target_response,response_time,response_time_test_buffer_response,response_time_test_target_response,row_sel,session_number,start_end,starttime,subject_id,target,task,task_vers,time_test_buffer,time_test_buffer_response,time_test_constants,time_test_flanker,time_test_jitter,time_test_logger,time_test_target,time_test_target_response,time_test_variables,trial
0,prac,1,inc,0,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),117958.89999999851,film,900,I,None,,,1799,,,14,1,4977.29999999702,112981.60000000149,8021,hate,AF,B,,,,,,,,,,1
0,prac,1,con,0,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),120741.60000000149,elated,800,I,m,,,671,,,9,1,2777.7000000029802,117963.89999999851,8021,elated,AF,B,,,,,,,,,,2
0,prac,1,inc,0,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),125923.19999999553,window,1100,I,None,,,1799,,,16,1,5175.69999999553,120747.5,8021,temper,AF,B,,,,,,,,,,3
1,prac,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),128856.29999999702,rock,900,I,z,,,631,,,10,1,2928.5,125927.79999999702,8021,kind,AF,B,,,,,,,,,,4
2,prac,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),131887.8999999985,remote,1000,I,m,,,718,,,7,1,3025.0,128862.89999999851,8021,remote,AF,B,,,,,,,,,,5
3,prac,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),134770.29999999702,kind,900,I,m,,,666,,,2,1,2878.1999999955297,131892.1000000015,8021,rock,AF,B,,,,,,,,,,6
4,prac,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),137752.79999999702,napkin,1100,I,z,,,576,,,12,1,2978.39999999851,134774.3999999985,8021,friend,AF,B,,,,,,,,,,7
5,prac,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),140701.8999999985,love,1000,I,z,,,645,,,11,1,2944.60000000149,137757.29999999702,8021,love,AF,B,,,,,,,,,,8
6,prac,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),143534.29999999702,elated,900,I,m,,,620,,,6,1,2828.0,140706.29999999702,8021,napkin,AF,B,,,,,,,,,,9
7,prac,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),146250.19999999553,jacket,800,I,m,,,615,,,5,1,2711.2999999970198,143538.8999999985,8021,jacket,AF,B,,,,,,,,,,10
8,prac,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),148882.5,step,800,I,m,,,515,,,1,1,2627.7000000029802,146254.79999999702,8021,step,AF,B,,,,,,,,,,11
9,prac,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),152031.79999999702,brutal,1100,I,m,,,743,,,8,1,3144.89999999851,148886.8999999985,8021,window,AF,B,,,,,,,,,,12
10,prac,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),155063.8999999985,bell,1000,I,m,,,718,,,3,1,3027.89999999851,152036.0,8021,bell,AF,B,,,,,,,,,,13
11,prac,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),158429.6000000015,rage,1000,I,z,,,1062,,,15,1,3361.3000000044703,155068.29999999702,8021,rage,AF,B,,,,,,,,,,14
12,prac,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),161528.69999999553,hate,1100,I,m,,,692,,,4,1,3094.6999999955297,158434.0,8021,film,AF,B,,,,,,,,,,15
13,prac,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),164577.8999999985,brutal,800,I,z,,,932,,,13,1,3045.10000000149,161532.79999999702,8021,brutal,AF,B,,,,,,,,,,16
1,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),180506.1000000015,jacket,800,I,z,z,None,734,519.0,215.0,37,1,2072.10000000149,178434.0,8021,brutal,AF,B,174608,174608,173069,173876,173070,175141,174392,174393,175141,1
2,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),182922.0,temper,1000,I,m,m,None,867,652.0,215.0,119,1,2411.39999999851,180510.6000000015,8021,remote,AF,B,176891,176891,175146,176158,175147,177557,176676,176676,177557,2
3,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),185038.1000000015,rock,800,I,m,m,None,772,573.0,199.0,73,1,2111.8000000044703,182926.29999999702,8021,rock,AF,B,179090,179090,177561,178374,177563,179673,178891,178891,179673,3
4,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),186937.3999999985,napkin,800,I,m,m,None,552,353.0,199.0,105,1,1894.1000000014901,185043.29999999702,8021,napkin,AF,B,181206,181206,179678,180490,179680,181572,181007,181007,181572,4
5,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),189136.69999999553,love,1000,I,m,m,None,660,461.0,199.0,95,1,2194.7999999970198,186941.8999999985,8021,film,AF,B,183306,183306,181577,182590,181578,183772,183106,183106,183772,5
6,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),191169.29999999702,brutal,800,I,z,z,None,685,486.0,199.0,33,1,2028.6999999955297,189140.6000000015,8021,brutal,AF,B,185305,185305,183776,184589,183777,185804,185106,185106,185804,6
7,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),193419.79999999702,hate,1100,I,m,m,None,608,393.0,215.0,80,1,2246.2999999970198,191173.5,8021,rock,AF,B,187654,187654,185809,186922,185810,188055,187438,187439,188055,7
8,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),195717.8999999985,temper,1100,I,z,z,None,655,440.0,215.0,60,1,2293.7999999970198,193424.1000000015,8021,temper,AF,B,189903,189903,188059,189171,188061,190353,189688,189688,190353,8
9,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),197817.19999999553,kind,900,I,m,m,None,652,453.0,199.0,86,1,2095.0999999940395,195722.1000000015,8021,bell,AF,B,191986,191986,190357,191270,190359,192452,191787,191787,192452,9
10,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),200283.19999999553,napkin,900,I,z,z,None,1024,810.0,214.0,38,1,2462.0999999940395,197821.1000000015,8021,brutal,AF,B,194101,194101,192456,193370,192458,194918,193887,193887,194918,10
11,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),202432.3999999985,remote,900,I,m,m,None,703,504.0,199.0,114,1,2144.7999999970198,200287.6000000015,8021,remote,AF,B,196551,196551,194923,195836,194924,197068,196352,196352,197067,11
12,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),204448.5,step,800,I,z,z,None,669,454.0,215.0,21,1,2011.7000000029802,202436.79999999702,8021,love,AF,B,198617,198617,197072,197886,197073,199084,198402,198402,199083,12
13,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),206648.0,hate,900,I,z,z,None,753,538.0,215.0,42,1,2195.8000000044703,204452.19999999553,8021,hate,AF,B,200733,200733,199087,200001,199089,201283,200518,200518,201283,13
14,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),208897.0,brutal,1100,I,z,z,None,602,403.0,199.0,36,1,2244.89999999851,206652.1000000015,8021,brutal,AF,B,203116,203116,201287,202400,201289,203532,202917,202917,203532,14
15,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),210963.1000000015,rage,800,I,m,m,None,725,526.0,199.0,77,1,2061.8000000044703,208901.29999999702,8021,rock,AF,B,205065,205065,203536,204350,203538,205598,204866,204866,205598,15
16,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),213162.5,temper,1000,I,m,m,None,659,460.0,199.0,111,1,2195.3000000044703,210967.19999999553,8021,napkin,AF,B,207331,207331,205602,206615,205604,207798,207132,207132,207798,16
17,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),215644.8999999985,hate,1100,I,m,m,None,846,631.0,215.0,72,1,2478.2999999970198,213166.6000000015,8021,step,AF,B,209648,209648,207802,208915,207803,210280,209432,209432,210280,17
18,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),217727.8999999985,rock,900,I,z,z,None,637,438.0,199.0,22,1,2079.2999999970198,215648.6000000015,8021,love,AF,B,211913,211913,210284,211198,210285,212363,211714,211714,212363,18
19,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),220011.5,jacket,1100,I,m,m,None,633,418.0,215.0,100,1,2279.5,217732.0,8021,jacket,AF,B,214212,214213,212367,213480,212369,214647,213997,213997,214646,19
20,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),222159.69999999553,rage,800,I,m,m,None,811,596.0,215.0,93,1,2144.0,220015.69999999553,8021,film,AF,B,216195,216195,214651,215463,214652,216795,215979,215980,216795,20
21,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),224375.6000000015,kind,1000,I,z,z,None,687,488.0,199.0,11,1,2211.60000000149,222164.0,8021,kind,AF,B,218511,218511,216799,217805,216800,219011,218312,218312,219011,21
22,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),226541.6000000015,window,900,I,m,m,None,730,531.0,199.0,122,1,2160.4000000059605,224381.19999999553,8021,window,AF,B,220644,220644,219016,219928,219018,221177,220445,220445,221177,22
23,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),228640.8999999985,rock,1000,I,m,m,None,552,337.0,215.0,75,1,2095.0,226545.8999999985,8021,rock,AF,B,222926,222926,221181,222194,221182,223276,222711,222711,223276,23
24,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),230907.0,hate,1100,I,z,z,None,625,426.0,199.0,44,1,2261.8000000044703,228645.19999999553,8021,hate,AF,B,225109,225109,223280,224393,223282,225542,224910,224910,225542,24
25,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),233273.0,love,1100,I,z,z,None,719,520.0,199.0,20,1,2361.89999999851,230911.1000000015,8021,love,AF,B,227375,227375,225546,226659,225548,227908,227176,227176,227908,25
26,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),235355.5,kind,900,I,m,m,None,633,433.0,200.0,78,1,2078.3000000044703,233277.19999999553,8021,rock,AF,B,229542,229542,227912,228825,227914,229991,229342,229342,229990,26
27,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),237588.19999999553,temper,1000,I,m,m,None,690,475.0,215.0,103,1,2228.2999999970198,235359.8999999985,8021,jacket,AF,B,231740,231740,229995,231008,229996,232223,231525,231525,232223,27
28,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),239754.1000000015,kind,900,I,z,z,None,717,518.0,199.0,10,1,2162.10000000149,237592.0,8021,kind,AF,B,233856,233857,232227,233141,232228,234389,233657,233657,234389,28
29,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),241787.0,window,800,I,m,m,None,691,492.0,199.0,121,1,2028.8999999985099,239758.1000000015,8021,window,AF,B,235923,235923,234393,235208,234395,236422,235723,235723,236422,29
30,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),243969.5,rock,900,I,m,m,None,741,528.0,213.0,74,1,2178.7000000029802,241790.79999999702,8021,rock,AF,B,238071,238071,236426,237339,236427,238605,237858,237858,238605,30
31,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),246252.19999999553,friend,1100,I,m,m,None,648,433.0,215.0,128,1,2278.7999999970198,243973.3999999985,8021,window,AF,B,240454,240454,238608,239722,238610,240887,240239,240239,240887,31
32,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),248318.29999999702,temper,1000,I,m,m,None,530,331.0,199.0,127,1,2062.1999999955297,246256.1000000015,8021,window,AF,B,242620,242620,240891,241904,240892,242953,242421,242421,242953,32
33,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),250750.69999999553,film,1100,I,m,m,None,796,597.0,199.0,92,1,2428.5999999940395,248322.1000000015,8021,film,AF,B,244786,244786,242957,244070,242959,245386,244587,244587,245386,33
34,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),253099.8999999985,hate,1100,I,m,m,None,699,500.0,199.0,88,1,2345.2999999970198,250754.6000000015,8021,bell,AF,B,247219,247219,245390,246503,245391,247735,247020,247020,247735,34
35,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),255482.6000000015,hate,1100,I,m,m,None,742,543.0,199.0,96,1,2379.10000000149,253103.5,8021,film,AF,B,249568,249568,247739,248852,247740,250118,249369,249369,250118,35
36,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),257831.6000000015,friend,1100,I,m,m,None,711,512.0,199.0,104,1,2345.3000000044703,255486.29999999702,8021,jacket,AF,B,251951,251951,250121,251235,250123,252467,251752,251752,252467,36
37,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),260264.29999999702,elated,1100,I,z,z,None,786,587.0,199.0,4,1,2428.1999999955297,257836.1000000015,8021,elated,AF,B,254300,254300,252471,253584,252473,254899,254101,254101,254899,37
38,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),262580.5,temper,1000,I,z,z,None,766,567.0,199.0,59,1,2312.0,260268.5,8021,temper,AF,B,256632,256632,254904,255916,254905,257216,256433,256433,257216,38
39,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),264996.3999999985,love,1000,I,m,m,None,866,667.0,199.0,87,1,2412.2999999970198,262584.1000000015,8021,bell,AF,B,258948,258948,257219,258233,257221,259632,258749,258749,259631,39
40,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),267229.1000000015,film,1000,I,m,m,None,688,474.0,214.0,91,1,2228.4000000059605,265000.69999999553,8021,film,AF,B,261381,261381,259636,260649,259637,261864,261166,261166,261864,40
41,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),269245.0,kind,900,I,m,m,None,573,374.0,199.0,94,1,2012.0,267233.0,8021,film,AF,B,263497,263497,261868,262781,261869,263880,263298,263298,263880,41
42,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),271528.0,step,800,I,z,z,None,877,662.0,215.0,53,1,2278.89999999851,269249.1000000015,8021,rage,AF,B,265497,265497,263884,264764,263885,266163,265281,265281,266163,42
43,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),273660.299999997,love,900,I,z,z,None,698,483.0,215.0,18,1,2128.7999999970198,271531.5,8021,love,AF,B,267812,267812,266167,267080,266168,268295,267597,267597,268295,43
44,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),275876.299999997,remote,1000,I,z,z,None,666,467.0,199.0,63,1,2211.89999999851,273664.3999999985,8021,temper,AF,B,270028,270028,268299,269313,268301,270511,269829,269829,270511,44
45,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),277858.8999999985,step,800,I,z,z,None,634,435.0,199.0,45,1,1978.3999999985099,275880.5,8021,hate,AF,B,272044,272044,270516,271329,270517,272494,271845,271845,272494,45
46,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),280324.69999999553,kind,1100,I,z,z,None,831,632.0,199.0,12,1,2462.2999999970198,277862.3999999985,8021,kind,AF,B,274327,274327,272497,273611,272499,274960,274128,274128,274960,46
47,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),282374.299999997,jacket,900,I,m,m,None,605,406.0,199.0,98,1,2045.7999999970198,280328.5,8021,jacket,AF,B,276593,276593,274964,275877,274965,277009,276394,276394,277009,47
48,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),284506.8999999985,elated,900,I,z,z,None,684,485.0,199.0,2,1,2128.7999999970198,282378.1000000015,8021,elated,AF,B,278642,278642,277013,277927,277014,279142,278443,278443,279142,48
49,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),286822.799999997,rage,800,I,m,m,None,970,755.0,215.0,69,1,2312.10000000149,284510.69999999553,8021,step,AF,B,280692,280692,279146,279959,279147,281458,280476,280476,281458,49
50,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),289105.299999997,rage,1000,I,z,z,None,743,544.0,199.0,51,1,2278.7999999970198,286826.5,8021,rage,AF,B,283191,283191,281462,282475,281463,283740,282992,282992,283740,50
51,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),291205.8999999985,brutal,900,I,m,m,None,664,449.0,215.0,110,1,2096.7000000029802,289109.19999999553,8021,napkin,AF,B,285390,285390,283744,284658,283746,285841,285175,285175,285841,51
52,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),293304.0,elated,800,I,z,z,None,761,562.0,199.0,1,1,2094.0,291210.0,8021,elated,AF,B,287373,287373,285845,286657,285846,287939,287174,287174,287939,52
53,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),295553.5,bell,1000,I,z,z,None,702,503.0,199.0,55,1,2245.7000000029802,293307.799999997,8021,rage,AF,B,289672,289672,287943,288956,287944,290189,289473,289473,290188,53
54,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),297787.1000000015,bell,1000,I,m,m,None,684,485.0,199.0,83,1,2229.8000000044703,295557.299999997,8021,bell,AF,B,291922,291922,290192,291206,290194,292422,291722,291722,292422,54
55,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),300002.1000000015,friend,1000,I,z,z,None,668,469.0,199.0,27,1,2210.8000000044703,297791.299999997,8021,friend,AF,B,294154,294154,292426,293438,292428,294637,293955,293955,294637,55
56,test,1,inc,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),302734.3999999985,friend,1100,I,m,m,None,1088,889.0,199.0,120,1,2728.5,300005.8999999985,8021,remote,AF,B,296470,296470,294641,295754,294642,297370,296271,296271,297369,56
57,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),304933.799999997,friend,900,I,z,z,None,755,540.0,215.0,26,1,2195.1999999955297,302738.6000000015,8021,friend,AF,B,299019,299019,297374,298287,297375,299569,298804,298804,299569,57
58,test,1,con,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),307033.0,rage,900,I,z,z,None,660,461.0,199.0,50,1,2095.39999999851,304937.6000000015,8021,rage,AF,B,301202,301202,299573,300486,299574,301668,301003,301003,301668,58
59,test,1,inc,1,z,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),309132.3999999985,jacket,800,I,z,z,None,765,566.0,199.0,5,1,2095.7999999970198,307036.6000000015,8021,elated,AF,B,303201,303201,301672,302485,301673,303767,303002,303002,303767,59
60,test,1,con,1,m,Wed Jan 29 2025 11:07:19 GMT-0600 (Central Standard Time),311265.19999999553,bell,900,I,m,m,None,693,478.0,215.0,82,1,2129.2999999970198,309135.8999999985,8021,bell,AF,B,305417,305417,303771,304685,303772,305900,305202,305202,305900,60
