acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),,097_m_f_n_a.png,I,space,11836,1,1,,,8024,NNB,B,0
0,prac,1,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),147336.0,152_y_f_n_a.png,I,z,777,2,1,1639.2999999970198,145696.70000000298,8024,NNB,B,1
0,prac,1,1.0,1-Back,0,z,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),150036.20000000298,152_y_f_n_a.png,I,m,1918,3,1,2692.60000000149,147343.6000000015,8024,NNB,B,2
0,prac,1,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),152734.5,176_o_m_n_a.png,I,z,1829,4,1,2682.2999999970198,150052.20000000298,8024,NNB,B,3
1,prac,1,0.0,1-Back,1,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),154401.0,126_m_m_n_a.png,I,m,795,5,1,1658.5,152742.5,8024,NNB,B,4
1,prac,1,1.0,1-Back,0,z,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),156267.20000000298,126_m_m_n_a.png,I,m,1084,6,1,1858.0,154409.20000000298,8024,NNB,B,5
1,prac,1,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),159149.79999999702,086_o_f_n_a.png,I,None,2003,7,1,2873.1999999955297,156276.6000000015,8024,NNB,B,6
1,prac,1,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),162015.3999999985,178_m_m_n_a.png,I,None,2004,8,1,2857.5,159157.8999999985,8024,NNB,B,7
1,prac,1,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),163879.8999999985,097_m_f_n_a.png,I,z,1001,9,1,1855.1000000014901,162024.79999999702,8024,NNB,B,8
1,prac,1,1.0,1-Back,0,z,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),166130.70000000298,097_m_f_n_a.png,I,m,1469,10,1,2242.4000000059605,163888.29999999702,8024,NNB,B,9
1,prac,1,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),168180.0,176_o_m_n_a.png,I,z,1256,11,1,2039.7999999970198,166140.20000000298,8024,NNB,B,10
1,prac,1,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),171028.70000000298,173_y_f_n_a.png,I,None,2007,12,1,2840.2000000029802,168188.5,8024,NNB,B,11
0,prac,2,0.0,1-Back,,,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),171028.70000000298,097_m_f_n_a.png,I,a,7026,1,1,2840.2000000029802,168188.5,8024,NNB,B,0
1,prac,2,0.0,1-Back,1,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),183942.20000000298,152_y_f_n_a.png,I,m,1974,2,1,2823.2000000029802,181119.0,8024,NNB,B,1
1,prac,2,1.0,1-Back,0,z,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),186724.1000000015,152_y_f_n_a.png,I,None,2006,3,1,2774.2000000029802,183949.8999999985,8024,NNB,B,2
2,prac,2,0.0,1-Back,1,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),189472.20000000298,176_o_m_n_a.png,I,m,1969,4,1,2739.2000000029802,186733.0,8024,NNB,B,3
3,prac,2,0.0,1-Back,1,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),191304.8999999985,126_m_m_n_a.png,I,m,961,5,1,1824.1000000014901,189480.79999999702,8024,NNB,B,4
3,prac,2,1.0,1-Back,0,z,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),192637.8999999985,126_m_m_n_a.png,I,m,556,6,1,1323.1999999955297,191314.70000000298,8024,NNB,B,5
3,prac,2,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),195470.70000000298,086_o_f_n_a.png,I,z,1954,7,1,2824.60000000149,192646.1000000015,8024,NNB,B,6
3,prac,2,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),198052.70000000298,178_m_m_n_a.png,I,z,1727,8,1,2576.0,195476.70000000298,8024,NNB,B,7
3,prac,2,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),200821.3999999985,097_m_f_n_a.png,I,None,2008,9,1,2762.39999999851,198059.0,8024,NNB,B,8
3,prac,2,1.0,1-Back,0,z,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),203602.20000000298,097_m_f_n_a.png,I,None,2010,10,1,2777.3000000044703,200824.8999999985,8024,NNB,B,9
3,prac,2,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),206384.79999999702,176_o_m_n_a.png,I,None,2007,11,1,2773.1999999955297,203611.6000000015,8024,NNB,B,10
3,prac,2,0.0,1-Back,0,m,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),209249.3999999985,173_y_f_n_a.png,I,None,2011,12,1,2855.60000000149,206393.79999999702,8024,NNB,B,11
0,prac,3,0.0,1-Back,,,Fri Mar 07 2025 09:26:19 GMT-0600 (Central Standard Time),209249.3999999985,097_m_f_n_a.png,I,a,14622,1,1,2855.60000000149,206393.79999999702,8024,NNB,B,0
