acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),-224,-192,52307.0,CFD-BM-250-170-N.jpg,Sam,64,I,None,3015,,3015,,,1,1,4035.0,-416,-256,48272.0,8035,FN,C,,43656,,,1,192,-320,-224
1,prac,1,1,,327.0,1.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,32,56672.59999999963,CFD-WM-255-219-N.jpg,John,64,I,1,1303,,1303,,,2,1,2325.5999999996275,224,-32,54347.0,8035,FN,C,,49720,,,2,192,320,0
2,prac,1,1,,-334.0,217.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),-224,256,58888.299999999814,CFD-LF-208-127-N.jpg,Tina,64,I,1,1194,,1194,,,3,1,2209.9000000003725,-416,192,56678.39999999944,8035,FN,C,,52053,,,3,192,-320,224
3,prac,1,1,,310.0,-219.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,-192,61537.59999999963,CFD-BM-250-170-N.jpg,Sam,64,I,1,1626,,1626,,,4,1,2647.4000000003725,224,-256,58890.199999999255,8035,FN,C,,54269,,,4,192,320,-224
4,prac,1,1,,-319.0,-5.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),-224,32,64582.39999999944,CFD-WM-255-219-N.jpg,John,64,I,1,2028,,2028,,,5,1,3043.0999999996275,-416,-32,61539.299999999814,8035,FN,C,,56918,,,5,192,-320,0
5,prac,1,1,,324.0,214.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,256,67485.39999999944,CFD-LF-208-127-N.jpg,Tina,64,I,1,1888,,1888,,,6,1,2901.2000000001863,224,192,64584.199999999255,8035,FN,C,,59951,,,6,192,320,224
0,prac_test,1,0,m,324.0,214.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,256,94160.69999999925,CFD-BM-250-170-N.jpg,John,64,I,None,4014,,,4014,,2,1,5018.5,224,192,89142.19999999925,8035,FN,C,,,84510,,1,192,320,224
1,prac_test,1,1,m,324.0,214.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,256,98043.0,CFD-WM-255-219-N.jpg,Sam,64,I,m,2089,,,2089,,1,1,3875.4000000003725,224,192,94167.59999999963,8035,FN,C,,,89541,,2,192,320,224
2,prac_test,1,1,z,324.0,214.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,256,101025.19999999925,CFD-LF-208-127-N.jpg,Tina,64,I,z,1183,,,1183,,3,1,2975.0999999996275,224,192,98050.09999999963,8035,FN,C,,,93424,,3,192,320,224
1,learn,1,1,,316.0,-3.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,32,121852.89999999944,CFD-WF-212-050-N.jpg,Nichole,64,I,1,1981,1981,,,,29,1,2998.399999999441,224,-32,118854.5,8035,FN,C,114234,,,,1,192,320,0
2,learn,1,1,,317.0,220.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,256,124467.69999999925,CFD-WM-240-125-N.jpg,Mike,64,I,1,1586,1586,,,,24,1,2612.399999999441,224,192,121855.29999999981,8035,FN,C,117233,,,,2,192,320,224
3,learn,1,1,,320.0,0.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,32,126983.5,CFD-LF-219-223-N.jpg,Jane,64,I,1,1483,1483,,,,41,1,2514.100000000559,224,-32,124469.39999999944,8035,FN,C,119852,,,,3,192,320,0
4,learn,1,1,,320.0,0.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,32,130017.0,CFD-LF-210-220-N.jpg,Helen,64,I,1,1998,1998,,,,47,1,3031.5,224,-32,126985.5,8035,FN,C,122365,,,,4,192,320,0
5,learn,1,1,,-372.0,-230.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),-224,-192,133048.2999999998,CFD-WF-244-163-N.jpg,Rachel,64,I,1,2002,2002,,,,31,1,3029.4000000003725,-416,-256,130018.89999999944,8035,FN,C,125397,,,,5,192,-320,-224
6,learn,1,1,,-299.0,219.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),-224,256,136397.2999999998,CFD-LM-202-072-N.jpg,Robert,64,I,1,2322,2322,,,,39,1,3346.2999999998137,-416,192,133051.0,8035,FN,C,128429,,,,6,192,-320,224
7,learn,1,1,,344.0,228.0,Tue Mar 18 2025 16:54:11 GMT-0500 (Central Daylight Time),416,256,138913.09999999963,CFD-LM-237-264-N.jpg,Jack,64,I,1,1493,1493,,,,36,1,2513.9000000003725,224,192,136399.19999999925,8035,FN,C,131778,,,,7,192,320,224
