acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),31962.59999999404,I,m,1168,,,1,no,1,2690.7999999970198,29271.79999999702,RNV,FNV,8037,LC,B,,,1
2,1,0.0,prac,1,m,30000.0,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),35132.70000000298,I,m,1642,,,3,no,1,3165.2000000029802,31967.5,QHZXPC,QHZWPC,8037,LC,B,,,2
3,1,0.0,prac,1,z,30000.0,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),38648.29999999702,I,z,1991,,,6,yes,1,3511.3999999910593,35136.90000000596,CSDBFPHXZ,CSDBFPHXZ,8037,LC,B,,,3
4,1,0.0,prac,1,m,30000.0,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),41464.09999999404,I,m,1290,,,5,no,1,2810.0,38654.09999999404,LNDPRSKQB,LNDPRSJQB,8037,LC,B,,,4
5,1,0.0,prac,1,z,30000.0,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),43930.09999999404,I,z,932,,,4,yes,1,2462.0,41468.09999999404,RSM,RSM,8037,LC,B,,,5
6,1,0.0,prac,1,z,30000.0,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),46962.40000000596,I,z,1507,,,2,yes,1,3028.0,43934.40000000596,NBGFSM,NBGFSM,8037,LC,B,,,6
1,1,1.1990001201629639,test,1,m,28800.999879837036,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),56509.40000000596,I,m,1192,1192,,1,no,1,1197.0,55312.40000000596,HCF,RCF,8037,LC,B,52910,,1
1,1,3.131999969482422,test,0,m,26868.000030517578,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),58442.20000000298,I,z,1927,1927,,2,no,1,1929.2999999970198,56512.90000000596,QTPRJX,QTPNJX,8037,LC,B,54111,,2
1,1,5.148000001907349,test,0,m,24851.99999809265,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),60458.29999999702,I,z,1996,1996,,3,no,1,2013.0,58445.29999999702,MZDYGVGKQ,MZDYGLBKQ,8037,LC,B,56043,,3
1,1,6.648000001907349,test,0,m,23351.99999809265,Thu Apr 03 2025 19:53:50 GMT-0500 (Central Daylight Time),61957.59999999404,I,z,1491,1491,,4,no,1,1496.0,60461.59999999404,FQTNMK,JQTNMK,8037,LC,B,58060,,4
