acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
0,1,0.0,prac,0,m,30000.0,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),35574.69999998808,O,z,1525,,,3,no,1,3059.5,32515.19999998808,QHZXPC,QHZWPC,7026,LC,B,,,1
1,1,0.0,prac,1,z,30000.0,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),38957.60000002384,O,z,1833,,,2,yes,1,3358.2000000476837,35599.39999997616,NBGFSM,NBGFSM,7026,LC,B,,,2
2,1,0.0,prac,1,z,30000.0,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),41689.89999997616,O,z,1186,,,4,yes,1,2713.199999988079,38976.69999998808,RSM,RSM,7026,LC,B,,,3
3,1,0.0,prac,1,z,30000.0,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),46221.19999998808,O,z,2993,,,6,yes,1,4513.800000011921,41707.39999997616,CSDBFPHXZ,CSDBFPHXZ,7026,LC,B,,,4
4,1,0.0,prac,1,m,30000.0,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),48786.89999997616,O,m,1015,,,1,no,1,2544.0,46242.89999997616,RNV,FNV,7026,LC,B,,,5
5,1,0.0,prac,1,m,30000.0,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),52835.69999998808,O,m,2504,,,5,no,1,4026.800000011921,48808.89999997616,LNDPRSKQB,LNDPRSJQB,7026,LC,B,,,6
1,1,0.8830001354217529,test,1,m,29116.999864578247,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),62533.0,O,m,858,858,,1,no,1,868.3999999761581,61664.60000002384,HCF,RCF,7026,LC,B,56637,,1
1,1,3.0990002155303955,test,0,m,26900.999784469604,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),64749.0,O,z,2180,2180,,2,no,1,2199.800000011921,62549.19999998808,QTPRJX,QTPNJX,7026,LC,B,57523,,2
2,1,5.698000192642212,test,1,m,24301.999807357788,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),67347.5,O,m,2565,2565,,3,no,1,2583.0,64764.5,MZDYGVGKQ,MZDYGLBKQ,7026,LC,B,59739,,3
3,1,6.781000137329102,test,1,m,23218.9998626709,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),68430.69999998808,O,m,1053,1053,,4,no,1,1066.8999999761581,67363.80000001192,FQTNMK,JQTNMK,7026,LC,B,62338,,4
4,1,7.8470001220703125,test,1,z,22152.999877929688,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),69496.89999997616,O,z,1044,1044,,5,yes,1,1051.0999999642372,68445.80000001192,CLJ,CLJ,7026,LC,B,63419,,5
5,1,9.213000059127808,test,1,m,20786.999940872192,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),70862.60000002384,O,m,1345,1345,,6,no,1,1350.9000000357628,69511.69999998808,JGDMNSVPW,JGZMNSVPW,7026,LC,B,64485,,6
5,1,11.546000003814697,test,0,z,18453.999996185303,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),73195.69999998808,O,m,2319,2319,,7,yes,1,2327.5,70868.19999998808,FPTVHKCBJ,FPTVHKCBJ,7026,LC,B,65840,,7
6,1,12.84600019454956,test,1,m,17153.99980545044,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),74495.39999997616,O,m,1279,1279,,8,no,1,1284.7999999523163,73210.60000002384,XRPZBS,ZRPBDH,7026,LC,B,68184,,8
7,1,13.828999996185303,test,1,m,16171.000003814697,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),75478.39999997616,O,m,956,956,,9,no,1,968.5,74509.89999997616,ZSQ,ZSP,7026,LC,B,69483,,9
8,1,15.645000219345093,test,1,z,14354.999780654907,Thu Oct 24 2024 13:53:27 GMT-0500 (Central Daylight Time),77294.39999997616,O,z,1789,1789,,10,yes,1,1801.199999988079,75493.19999998808,MPZRXL,MPZRXL,7026,LC,B,70466,,10
