block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,1.2149999141693115,delay,58785.00008583069,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),26923.800000190735,A,bookenter,O,enter,256,1,1214.0,25709.800000190735,7031,DWL,A,1
8,2.498000144958496,delay,57501.999855041504,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),28206.800000190735,A,meadowenter,O,enter,170,1,1282.0999999046326,26924.700000286102,7031,DWL,A,2
8,3.498000144958496,delay,56501.999855041504,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),29206.400000095367,A,flowerenter,O,enter,188,1,999.0999999046326,28207.300000190735,7031,DWL,A,3
8,4.398000001907349,delay,55601.99999809265,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),30106.10000038147,A,goldenter,O,enter,124,1,899.3000001907349,29206.800000190735,7031,DWL,A,4
8,5.232000112533569,delay,54767.99988746643,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),30940.10000038147,A,logenter,O,enter,187,1,833.6000003814697,30106.5,7031,DWL,A,5
8,6.13100004196167,delay,53868.99995803833,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),31839.300000190735,A,rugenter,O,enter,322,1,898.8000001907349,30940.5,7031,DWL,A,6
8,9.861999988555908,delay,50138.00001144409,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),35571.0,A,buttonenter,O,enter,220,1,3731.3999996185303,31839.60000038147,7031,DWL,A,7
8,10.76200008392334,delay,49237.99991607666,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),36470.7000002861,A,rattleenter,O,enter,126,1,899.2000002861023,35571.5,7031,DWL,A,8
8,14.311000108718872,delay,45688.99989128113,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),40019.60000038147,A,goldenter,O,enter,323,1,3548.5,36471.10000038147,7031,DWL,A,9
8,20.358999967575073,delay,39641.00003242493,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),46067.40000009537,A,trainenter,O,enter,287,1,6047.400000095367,40020.0,7031,DWL,A,10
8,25.27500009536743,delay,34724.99990463257,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),50982.60000038147,A,keyenter,O,enter,351,1,4914.800000190735,46067.800000190735,7031,DWL,A,11
8,38.437000036239624,delay,21562.999963760376,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),64145.0,A,flowerenter,O,enter,493,1,13162.099999904633,50982.90000009537,7031,DWL,A,12
8,48.43400001525879,delay,11565.999984741211,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),74141.7000002861,A,rugenter,O,enter,206,1,9996.400000095367,64145.300000190735,7031,DWL,A,13
8,50.33299994468689,delay,9667.00005531311,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),76041.10000038147,A,doorenter,O,enter,219,1,1899.0,74142.10000038147,7031,DWL,A,14
8,60.015000104904175,delay,-15.000104904174805,Wed Dec 18 2024 14:13:25 GMT-0600 (Central Standard Time),85722.5,A,None,O,None,9674,1,9681.099999904633,76041.40000009537,7031,DWL,A,15
