acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,-192,32744.0,CFD-BM-204-003-N.jpg,Sam,64,O,None,3013,,3013,,,1,1,4031.800000190735,-416,-256,28712.199999809265,7031,FN,A,,15029,,,1,192,-320,-224
1,prac,1,1,,282.0,11.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,32,36775.59999990463,CFD-WM-012-001-N.jpg,John,64,O,1,915,,915,,,2,1,1937.3000001907349,224,-32,34838.2999997139,7031,FN,A,,21144,,,2,192,320,0
2,prac,1,1,,-286.0,226.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,256,39007.699999809265,CFD-LF-249-132-N.jpg,Tina,64,O,1,1174,,1174,,,3,1,2198.199999809265,-416,192,36809.5,7031,FN,A,,23126,,,3,192,-320,224
3,prac,1,1,,298.0,-222.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,-192,41323.59999990463,CFD-BM-204-003-N.jpg,Sam,64,O,1,1294,,1294,,,4,1,2308.5999999046326,224,-256,39015.0,7031,FN,A,,25325,,,4,192,320,-224
4,prac,1,1,,-324.0,-10.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,32,43489.699999809265,CFD-WM-012-001-N.jpg,John,64,O,1,1139,,1139,,,5,1,2158.5999999046326,-416,-32,41331.09999990463,7031,FN,A,,27641,,,5,192,-320,0
5,prac,1,1,,291.0,196.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,45822.199999809265,CFD-LF-249-132-N.jpg,Tina,64,O,1,1283,,1283,,,6,1,2305.9000000953674,224,192,43516.2999997139,7031,FN,A,,29823,,,6,192,320,224
0,prac_test,1,0,m,291.0,196.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,71130.7999997139,CFD-BM-204-003-N.jpg,John,64,O,z,1645,,,1645,,2,1,3439.9000000953674,224,192,67690.89999961853,7031,FN,A,,,54002,,1,192,320,224
1,prac_test,1,1,z,291.0,196.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,75246.19999980927,CFD-LF-249-132-N.jpg,Tina,64,O,z,2283,,,2283,,3,1,4072.5999999046326,224,192,71173.59999990463,7031,FN,A,,,57484,,2,192,320,224
1,prac_test,1,0,m,291.0,196.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,79994.2999997139,CFD-WM-012-001-N.jpg,Sam,64,O,z,2927,,,2927,,1,1,4709.0,224,192,75285.2999997139,7031,FN,A,,,61599,,3,192,320,224
1,prac,2,1,,-347.0,-224.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,-192,86692.59999990463,CFD-BM-204-003-N.jpg,Sam,64,O,1,2414,,2414,2927,,1,1,3464.7000002861023,-416,-256,83227.89999961853,7031,FN,A,,69544,61599,,1,192,-320,-224
2,prac,2,1,,304.0,-3.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,32,88625.09999990463,CFD-WM-012-001-N.jpg,John,64,O,1,913,,913,2927,,2,1,1925.5999999046326,224,-32,86699.5,7031,FN,A,,73010,61599,,2,192,320,0
3,prac,2,1,,-330.0,220.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,256,90573.5,CFD-LF-249-132-N.jpg,Tina,64,O,1,899,,899,2927,,3,1,1916.6000003814697,-416,192,88656.89999961853,7031,FN,A,,74973,61599,,3,192,-320,224
4,prac,2,1,,317.0,-219.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,-192,93956.5,CFD-BM-204-003-N.jpg,Sam,64,O,1,2360,,2360,2927,,4,1,3379.9000000953674,224,-256,90576.59999990463,7031,FN,A,,76891,61599,,4,192,320,-224
5,prac,2,1,,-278.0,5.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,32,95972.5,CFD-WM-012-001-N.jpg,John,64,O,1,985,,985,2927,,5,1,2008.9000000953674,-416,-32,93963.59999990463,7031,FN,A,,80274,61599,,5,192,-320,0
6,prac,2,1,,298.0,202.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,97988.5,CFD-LF-249-132-N.jpg,Tina,64,O,1,984,,984,2927,,6,1,2009.2000002861023,224,192,95979.2999997139,7031,FN,A,,82290,61599,,6,192,320,224
1,prac_test,2,1,z,298.0,202.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,107119.2999997139,CFD-LF-249-132-N.jpg,Tina,64,O,z,2366,,,2366,,3,1,4156.900000095367,224,192,102962.39999961853,7031,FN,A,,,89273,,1,192,320,224
2,prac_test,2,1,m,298.0,202.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,110601.39999961853,CFD-WM-012-001-N.jpg,Sam,64,O,m,1663,,,1663,,1,1,3467.8999996185303,224,192,107133.5,7031,FN,A,,,93456,,2,192,320,224
3,prac_test,2,1,m,298.0,202.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,114215.59999990463,CFD-BM-204-003-N.jpg,John,64,O,m,1797,,,1797,,2,1,3585.5,224,192,110630.09999990463,7031,FN,A,,,96938,,3,192,320,224
1,learn,1,1,,-310.0,6.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,32,134143.69999980927,CFD-BM-200-046-N.jpg,Mark,64,O,1,1132,1132,,,,2,1,2159.9000000953674,-416,-32,131983.7999997139,7031,FN,A,118295,,,,1,192,-320,0
1,learn,1,0,,262.0,189.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,136542.69999980927,CFD-LF-255-088-N.jpg,Helen,64,O,1,1374,1374,,,,48,1,2391.0999999046326,224,192,134151.59999990463,7031,FN,A,120461,,,,2,192,320,224
2,learn,1,1,,298.0,-236.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,-192,140291.19999980927,CFD-BF-241-222-N.jpg,Lucy,64,O,1,1161,1161,,,,16,1,2174.0999999046326,224,-256,138117.09999990463,7031,FN,A,124426,,,,3,192,320,-224
3,learn,1,1,,-284.0,-12.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,32,142173.89999961853,CFD-WF-206-147-N.jpg,Rachel,64,O,1,862,862,,,,32,1,1875.0999999046326,-416,-32,140298.7999997139,7031,FN,A,126606,,,,4,192,-320,0
3,learn,1,0,,264.0,190.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,144422.5,CFD-BF-204-189-N.jpg,Sarah,64,O,1,1229,1229,,,,12,1,2242.2000002861023,224,192,142180.2999997139,7031,FN,A,128491,,,,5,192,320,224
4,learn,1,1,,-315.0,0.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,32,148055.2999997139,CFD-LF-226-174-N.jpg,Cindy,64,O,1,1084,1084,,,,44,1,2108.4000000953674,-416,-32,145946.89999961853,7031,FN,A,132256,,,,6,192,-320,0
5,learn,1,1,,310.0,-214.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,-192,150204.59999990463,CFD-BF-208-266-N.jpg,Lisa,64,O,1,1117,1117,,,,10,1,2142.0999999046326,224,-256,148062.5,7031,FN,A,134373,,,,7,192,320,-224
6,learn,1,1,,-305.0,206.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,256,152270.7999997139,CFD-BF-208-266-N.jpg,Lisa,64,O,1,1033,1033,,,,9,1,2059.5999999046326,-416,192,150211.19999980927,7031,FN,A,136522,,,,8,192,-320,224
7,learn,1,1,,310.0,14.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,32,154403.09999990463,CFD-LM-207-004-N.jpg,Jack,64,O,1,1103,1103,,,,35,1,2126.2000002861023,224,-32,152276.89999961853,7031,FN,A,138588,,,,9,192,320,0
8,learn,1,1,,-258.0,7.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,32,156286.5,CFD-LM-213-061-N.jpg,Richard,64,O,1,849,849,,,,38,1,1877.1000003814697,-416,-32,154409.39999961853,7031,FN,A,140721,,,,10,192,-320,0
9,learn,1,1,,-289.0,-214.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,-192,158401.69999980927,CFD-LM-213-061-N.jpg,Richard,64,O,1,1071,1071,,,,37,1,2108.5,-416,-256,156293.19999980927,7031,FN,A,142620,,,,11,192,-320,-224
10,learn,1,1,,-312.0,-195.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,-192,160234.59999990463,CFD-LF-226-174-N.jpg,Cindy,64,O,1,803,803,,,,43,1,1826.5999999046326,-416,-256,158408.0,7031,FN,A,144719,,,,12,192,-320,-224
11,learn,1,1,,-312.0,-215.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,-192,162567.59999990463,CFD-BF-221-223-N.jpg,Emily,64,O,1,1266,1266,,,,13,1,2298.9000000953674,-416,-256,160268.69999980927,7031,FN,A,146585,,,,13,192,-320,-224
11,learn,1,0,,258.0,191.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,164899.7999997139,CFD-WF-205-006-N.jpg,Nichole,64,O,1,1310,1310,,,,30,1,2325.4000000953674,224,192,162574.39999961853,7031,FN,A,148885,,,,14,192,320,224
12,learn,1,1,,-340.0,-250.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,-192,168698.5,CFD-WF-200-099-N.jpg,Julie,64,O,1,1230,1230,,,,25,1,2276.5,-416,-256,166422.0,7031,FN,A,152757,,,,15,192,-320,-224
13,learn,1,1,,-283.0,235.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,256,170715.39999961853,CFD-BM-202-063-N.jpg,George,64,O,1,987,987,,,,3,1,2008.6999998092651,-416,192,168706.69999980927,7031,FN,A,155016,,,,16,192,-320,224
14,learn,1,1,,268.0,208.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,172763.89999961853,CFD-BM-203-001-N.jpg,Brian,64,O,1,1026,1026,,,,6,1,2041.2999997138977,224,192,170722.59999990463,7031,FN,A,157032,,,,17,192,320,224
15,learn,1,1,,281.0,17.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,32,174829.89999961853,CFD-WF-205-006-N.jpg,Nichole,64,O,1,1010,1010,,,,29,1,2059.5999999046326,224,-32,172770.2999997139,7031,FN,A,159104,,,,18,192,320,0
16,learn,1,1,,274.0,9.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,32,176762.59999990463,CFD-BF-204-189-N.jpg,Sarah,64,O,1,903,903,,,,11,1,1926.3000001907349,224,-32,174836.2999997139,7031,FN,A,161147,,,,19,192,320,0
17,learn,1,1,,304.0,215.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,178912.19999980927,CFD-LF-237-190-N.jpg,Jane,64,O,1,1082,1082,,,,42,1,2116.800000190735,224,192,176795.39999961853,7031,FN,A,163113,,,,20,192,320,224
18,learn,1,1,,289.0,-207.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,-192,180994.5,CFD-BM-202-063-N.jpg,George,64,O,1,1054,1054,,,,4,1,2076.2000002861023,224,-256,178918.2999997139,7031,FN,A,165229,,,,21,192,320,-224
19,learn,1,1,,286.0,-17.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,32,182944.0,CFD-LF-255-088-N.jpg,Helen,64,O,1,883,883,,,,47,1,1942.9000000953674,224,-32,181001.09999990463,7031,FN,A,167345,,,,22,192,320,0
20,learn,1,1,,-285.0,-219.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),-224,-192,185159.7999997139,CFD-WM-207-048-N.jpg,Chris,64,O,1,1192,1192,,,,19,1,2208.5999999046326,-416,-256,182951.19999980927,7031,FN,A,169260,,,,23,192,-320,-224
21,learn,1,1,,286.0,198.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,256,187059.09999990463,CFD-LM-207-004-N.jpg,Jack,64,O,1,877,877,,,,36,1,1893.0,224,192,185166.09999990463,7031,FN,A,171478,,,,24,192,320,224
22,learn,1,1,,335.0,-7.0,Wed Dec 18 2024 13:42:05 GMT-0600 (Central Standard Time),416,32,188825.2999997139,CFD-LF-237-190-N.jpg,Jane,64,O,1,739,739,,,,41,1,1759.7999997138977,224,-32,187065.5,7031,FN,A,173376,,,,25,192,320,0
