acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),40729.699999809265,O,z,1321,,,3,yes,1,2846.0999999046326,37883.59999990463,practrial3.png,practrial3.png,7031,PC,A,,,1
2,1,0.0,prac,1,m,30000.0,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),43112.699999809265,O,m,849,,,2,no,1,2370.0999999046326,40742.59999990463,practrial2.png,practrial2b.png,7031,PC,A,,,2
3,1,0.0,prac,1,z,30000.0,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),45644.300000190735,O,z,978,,,1,yes,1,2513.1000003814697,43131.199999809265,practrial1.png,practrial1.png,7031,PC,A,,,3
4,1,0.0,prac,1,m,30000.0,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),48810.800000190735,O,m,1632,,,4,no,1,3160.800000190735,45650.0,practrial4.png,practrial4b.png,7031,PC,A,,,4
5,1,0.0,prac,1,z,30000.0,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),51409.5,O,z,1048,,,5,yes,1,2581.0,48828.5,practrial5.png,practrial5.png,7031,PC,A,,,5
5,1,0.0,prac,0,m,30000.0,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),53958.90000009537,O,z,993,,,6,no,1,2531.0,51427.90000009537,practrial6.png,practrial6b.png,7031,PC,A,,,6
1,1,1.5829999446868896,test,1,z,28417.00005531311,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),63673.0,O,z,1552,1552,,1,yes,1,1571.1999998092651,62101.800000190735,test1trial1.png,test1trial1.png,7031,PC,A,59351,,1
2,1,2.815999984741211,test,1,m,27184.00001525879,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),64906.09999990463,O,m,1197,1197,,2,no,1,1219.7999997138977,63686.300000190735,test1trial2.png,test1trial2b.png,7031,PC,A,60937,,2
3,1,4.881999969482422,test,1,z,25118.000030517578,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),66971.5,O,z,2038,2038,,3,yes,1,2052.4000000953674,64919.09999990463,test1trial3.png,test1trial3.png,7031,PC,A,62169,,3
4,1,5.914999961853027,test,1,m,24085.000038146973,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),68004.5,O,m,1004,1004,,4,no,1,1020.9000000953674,66983.59999990463,test1trial4.png,test1trial4b.png,7031,PC,A,64235,,4
5,1,7.997999906539917,test,1,z,22002.000093460083,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),70087.30000019073,O,z,2060,2060,,5,yes,1,2070.9000000953674,68016.40000009537,test1trial5.png,test1trial5.png,7031,PC,A,65266,,5
6,1,9.746999979019165,test,1,m,20253.000020980835,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),71836.59999990463,O,m,1712,1712,,6,no,1,1736.1999998092651,70100.40000009537,test1trial6.png,test1trial6b.png,7031,PC,A,67351,,6
7,1,10.845999956130981,test,1,z,19154.00004386902,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),72936.0,O,z,1077,1077,,7,yes,1,1087.6999998092651,71848.30000019073,test1trial7.png,test1trial7.png,7031,PC,A,69098,,7
8,1,13.095999956130981,test,1,m,16904.00004386902,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),75185.40000009537,O,m,2230,2230,,8,no,1,2239.0999999046326,72946.30000019073,test1trial8.png,test1trial8b.png,7031,PC,A,70193,,8
9,1,14.494999885559082,test,1,z,15505.000114440918,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),76585.0,O,z,1375,1375,,9,yes,1,1387.8000001907349,75197.19999980927,test1trial9.png,test1trial9.png,7031,PC,A,72448,,9
10,1,15.961999893188477,test,1,m,14038.000106811523,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),78051.30000019073,O,m,1439,1439,,10,no,1,1454.5,76596.80000019073,test1trial10.png,test1trial10b.png,7031,PC,A,73847,,10
11,1,16.944999933242798,test,1,z,13055.000066757202,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),79034.40000009537,O,z,958,958,,11,yes,1,970.3000001907349,78064.09999990463,test1trial11.png,test1trial11.png,7031,PC,A,75313,,11
12,1,18.72699999809265,test,1,m,11273.000001907349,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),80817.0,O,m,1758,1758,,12,no,1,1770.5999999046326,79046.40000009537,test1trial12.png,test1trial12b.png,7031,PC,A,76297,,12
13,1,19.960000038146973,test,1,m,10039.999961853027,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),82049.90000009537,O,m,1208,1208,,13,no,1,1221.0,80828.90000009537,test1trial13.png,test1trial13b.png,7031,PC,A,78079,,13
14,1,23.608999967575073,test,1,m,6391.000032424927,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),85698.59999990463,O,m,3624,3624,,14,no,1,3636.699999809265,82061.90000009537,test1trial14.png,test1trial14b.png,7031,PC,A,79311,,14
15,1,24.491999864578247,test,1,z,5508.000135421753,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),86581.69999980927,O,z,854,854,,15,yes,1,870.3999996185303,85711.30000019073,test1trial15.png,test1trial15.png,7031,PC,A,82961,,15
16,1,25.840999841690063,test,1,m,4159.0001583099365,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),87930.90000009537,O,m,1322,1322,,16,no,1,1337.5999999046326,86593.30000019073,test1trial16.png,test1trial16b.png,7031,PC,A,83844,,16
17,1,27.22499990463257,test,1,z,2775.0000953674316,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),89314.09999990463,O,z,1358,1358,,17,yes,1,1376.4000000953674,87937.69999980927,test1trial17.png,test1trial17.png,7031,PC,A,85185,,17
18,1,28.424000024795532,test,1,m,1575.9999752044678,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),90513.69999980927,O,m,1175,1175,,18,no,1,1188.1999998092651,89325.5,test1trial18.png,test1trial18b.png,7031,PC,A,86576,,18
18,1,30.0239999294281,test,0,m,-23.999929428100586,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),92113.5,O,None,1580,1580,,19,no,1,1587.9000000953674,90525.59999990463,test1trial19.png,test1trial19b.png,7031,PC,A,87776,,19
1,2,1.116999864578247,test,1,m,28883.000135421753,Wed Dec 18 2024 14:05:33 GMT-0600 (Central Standard Time),97245.40000009537,O,m,1088,,1088.0,1,no,1,6719.800000190735,90525.59999990463,test2trial1.png,test2trial1b.png,7031,PC,A,,93391.0,1
