block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
8,4.665999889373779,delay,55334.00011062622,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),64425.800000000745,A,flagenter,O,enter,328,1,4664.700000000186,59761.10000000056,7034,DWL,C,1
8,6.648000001907349,delay,53351.99999809265,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),66408.60000000056,A,wheatenter,O,enter,372,1,1982.1000000005588,64426.5,7034,DWL,C,2
8,8.613999843597412,delay,51386.00015640259,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),68374.70000000019,A,towerenter,O,enter,166,1,1965.5,66409.20000000019,7034,DWL,C,3
8,10.27999997138977,delay,49720.00002861023,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),70040.5,A,queenenter,O,enter,223,1,1665.3999999994412,68375.10000000056,7034,DWL,C,4
8,11.962999820709229,delay,48037.00017929077,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),71723.60000000056,A,nailenter,O,enter,203,1,1682.7000000001863,70040.90000000037,7034,DWL,C,5
8,12.912999868392944,delay,47087.000131607056,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),72673.10000000056,A,cornenter,O,enter,272,1,949.2000000001863,71723.90000000037,7034,DWL,C,6
8,14.27899980545044,delay,45721.00019454956,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),74039.40000000037,A,lettrenter,O,enter,124,1,1365.7999999998137,72673.60000000056,7034,DWL,C,7
8,17.34499979019165,delay,42655.00020980835,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),77105.30000000075,A,doctorenter,O,enter,764,1,3065.4000000003725,74039.90000000037,7034,DWL,C,8
8,18.960999965667725,delay,41039.000034332275,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),78721.40000000037,A,shoreenter,O,enter,222,1,1615.5999999996275,77105.80000000075,7034,DWL,C,9
8,19.860999822616577,delay,40139.00017738342,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),79621.0,A,boyenter,O,enter,285,1,899.1999999992549,78721.80000000075,7034,DWL,C,10
8,21.944000005722046,delay,38055.999994277954,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),81703.90000000037,A,bodyenter,O,enter,390,1,2082.5,79621.40000000037,7034,DWL,C,11
8,24.009999990463257,delay,35990.00000953674,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),83769.80000000075,A,cattleenter,O,enter,630,1,2065.5,81704.30000000075,7034,DWL,C,12
8,25.175999879837036,delay,34824.000120162964,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),84936.10000000056,A,campenter,O,enter,316,1,1166.0,83770.10000000056,7034,DWL,C,13
8,34.473999977111816,delay,25526.000022888184,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),94234.10000000056,A,sugarenter,O,enter,214,1,9297.600000000559,84936.5,7034,DWL,C,14
8,60.014999866485596,delay,-14.999866485595703,Thu Nov 14 2024 18:01:56 GMT-0600 (Central Standard Time),119775.10000000056,A,None,O,None,25536,1,25540.60000000056,94234.5,7034,DWL,C,15
