acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,face,jitter,line,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,A,haborder.png,0,z,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),44576.5,CFD-BF-031-020-A.jpg,1000,solid,O,m,1473,4,1,3299.300000011921,41277.19999998808,7044,ATS,C,1
0,prac,1,A,haborder.png,0,m,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),48408.39999997616,CFD-WF-013-009-HC.jpg,1500,solid,O,None,1511,11,1,7131.199999988079,41277.19999998808,7044,ATS,C,2
0,prac,1,A,haborder.png,0,m,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),52439.5,CFD-WM-035-036-HC.jpg,1700,solid,O,None,1510,9,1,11162.300000011921,41277.19999998808,7044,ATS,C,3
1,prac,1,A,haborder.png,1,m,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),55905.19999998808,CFD-BM-034-035-HC.jpg,1700,solid,O,m,966,1,1,14628.0,41277.19999998808,7044,ATS,C,4
2,prac,1,A,haborder.png,1,z,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),58805.30000001192,CFD-WF-023-013-A.jpg,1000,solid,O,z,1096,12,1,17528.100000023842,41277.19999998808,7044,ATS,C,5
3,prac,1,A,haborder.png,1,z,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),61987.39999997616,CFD-WF-037-016-A.jpg,1600,solid,O,z,759,10,1,20710.19999998808,41277.19999998808,7044,ATS,C,6
4,prac,1,A,haborder.png,1,z,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),65402.80000001192,CFD-WM-036-018-A.jpg,1900,solid,O,z,685,8,1,24125.600000023842,41277.19999998808,7044,ATS,C,7
4,prac,1,A,haborder.png,0,m,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),68701.0,CFD-WM-028-005-HC.jpg,1400,solid,O,z,1071,7,1,27423.80000001192,41277.19999998808,7044,ATS,C,8
5,prac,1,A,haborder.png,1,z,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),71717.39999997616,CFD-BF-002-018-A.jpg,1200,solid,O,z,1029,6,1,30440.19999998808,41277.19999998808,7044,ATS,C,9
6,prac,1,A,haborder.png,1,z,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),74832.5,CFD-BM-043-014-A.jpg,1600,solid,O,z,688,2,1,33555.30000001192,41277.19999998808,7044,ATS,C,10
7,prac,1,A,haborder.png,1,m,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),77782.30000001192,CFD-BM-022-004-HC.jpg,1500,solid,O,m,642,3,1,36505.10000002384,41277.19999998808,7044,ATS,C,11
7,prac,1,A,haborder.png,0,m,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),81447.39999997616,CFD-BF-019-004-HC.jpg,2000,solid,O,z,836,5,1,40170.19999998808,41277.19999998808,7044,ATS,C,12
1,prac,2,A,haborder.png,1,z,Thu Feb 06 2025 18:22:36 GMT-0600 (Central Standard Time),87162.0,CFD-WF-037-016-A.jpg,1600,solid,O,z,987,10,1,45884.80000001192,41277.19999998808,7044,ATS,C,1
