acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),,097_m_f_n_a.png,O,space,20265,1,1,,,7069,NNB,B,0
1,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),135462.10000002384,152_y_f_n_a.png,O,m,854,2,1,1688.6000000238419,133773.5,7069,NNB,B,1
2,prac,1,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),137359.40000003576,152_y_f_n_a.png,O,z,1110,3,1,1889.4000000357628,135470.0,7069,NNB,B,2
3,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),139377.40000003576,176_o_m_n_a.png,O,m,1162,4,1,2008.4000000357628,137369.0,7069,NNB,B,3
4,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),141309.60000002384,126_m_m_n_a.png,O,m,1079,5,1,1926.199999988079,139383.40000003576,7069,NNB,B,4
5,prac,1,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),142941.80000001192,126_m_m_n_a.png,O,z,854,6,1,1622.300000011921,141319.5,7069,NNB,B,5
6,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),144805.0,086_o_f_n_a.png,O,m,974,7,1,1853.0,142952.0,7069,NNB,B,6
7,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),146806.69999998808,178_m_m_n_a.png,O,m,1138,8,1,1993.5999999642372,144813.10000002384,7069,NNB,B,7
8,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),148374.40000003576,097_m_f_n_a.png,O,m,804,9,1,1557.4000000357628,146817.0,7069,NNB,B,8
9,prac,1,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),149989.5,097_m_f_n_a.png,O,z,840,10,1,1605.3999999761581,148384.10000002384,7069,NNB,B,9
10,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),151623.80000001192,176_o_m_n_a.png,O,m,856,11,1,1618.6000000238419,150005.19999998808,7069,NNB,B,10
11,prac,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),154057.19999998808,173_y_f_n_a.png,O,m,1589,12,1,2425.399999976158,151631.80000001192,7069,NNB,B,11
0,test,1,0.0,1-Back,,,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),154057.19999998808,152_y_f_n_a.png,O,space,24310,1,1,2425.399999976158,151631.80000001192,7069,NNB,B,0
1,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),190675.5,029_m_f_n_a.png,O,m,1233,2,1,2257.099999964237,188418.40000003576,7069,NNB,B,1
2,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),192527.19999998808,173_y_f_n_a.png,O,m,833,3,1,1845.0999999642372,190682.10000002384,7069,NNB,B,2
3,test,1,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),194207.80000001192,173_y_f_n_a.png,O,z,663,4,1,1672.699999988079,192535.10000002384,7069,NNB,B,3
4,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),196192.19999998808,029_m_f_n_a.png,O,m,965,5,1,1975.5999999642372,194216.60000002384,7069,NNB,B,4
5,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),197957.80000001192,176_o_m_n_a.png,O,m,741,6,1,1757.300000011921,196200.5,7069,NNB,B,5
6,test,1,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),199673.0,176_o_m_n_a.png,O,z,698,7,1,1707.699999988079,197965.30000001192,7069,NNB,B,6
7,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),201572.69999998808,126_m_m_n_a.png,O,m,874,8,1,1892.0,199680.69999998808,7069,NNB,B,7
8,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),203242.5,086_o_f_n_a.png,O,m,652,9,1,1662.699999988079,201579.80000001192,7069,NNB,B,8
9,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),205055.30000001192,126_m_m_n_a.png,O,m,784,10,1,1805.6000000238419,203249.69999998808,7069,NNB,B,9
10,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),206970.60000002384,153_y_m_n_a.png,O,m,885,11,1,1908.800000011921,205061.80000001192,7069,NNB,B,10
11,test,1,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),208737.40000003576,153_y_m_n_a.png,O,z,736,12,1,1759.0,206978.40000003576,7069,NNB,B,11
12,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),210486.80000001192,110_o_f_n_a.png,O,m,723,13,1,1742.199999988079,208744.60000002384,7069,NNB,B,12
13,test,1,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),212236.40000003576,110_o_f_n_a.png,O,z,717,14,1,1742.7000000476837,210493.69999998808,7069,NNB,B,13
14,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),214320.80000001192,013_y_m_n_a.png,O,m,1067,15,1,2077.399999976158,212243.40000003576,7069,NNB,B,14
15,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),215965.80000001192,097_m_f_n_a.png,O,m,621,16,1,1638.3999999761581,214327.40000003576,7069,NNB,B,15
16,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),217701.80000001192,065_o_m_n_a.png,O,m,707,17,1,1733.3999999761581,215968.40000003576,7069,NNB,B,16
17,test,1,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),219700.40000003576,097_m_f_n_a.png,O,m,966,18,1,1990.4000000357628,217710.0,7069,NNB,B,17
0,test,2,0.0,1-Back,,,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),219700.40000003576,126_m_m_n_a.png,O,space,3465,1,1,1990.4000000357628,217710.0,7069,NNB,B,0
1,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),227199.19999998808,029_m_f_n_a.png,O,m,991,2,1,2008.3999999761581,225190.80000001192,7069,NNB,B,1
2,test,2,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),229016.10000002384,029_m_f_n_a.png,O,z,790,3,1,1809.4000000357628,227206.69999998808,7069,NNB,B,2
3,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),230730.60000002384,126_m_m_n_a.png,O,m,686,4,1,1708.199999988079,229022.40000003576,7069,NNB,B,3
4,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),232396.40000003576,153_y_m_n_a.png,O,m,641,5,1,1659.2000000476837,230737.19999998808,7069,NNB,B,4
5,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),234079.5,152_y_f_n_a.png,O,m,663,6,1,1674.800000011921,232404.69999998808,7069,NNB,B,5
6,test,2,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),235594.69999998808,152_y_f_n_a.png,O,z,494,7,1,1510.2999999523163,234084.40000003576,7069,NNB,B,6
7,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),237126.10000002384,153_y_m_n_a.png,O,m,514,8,1,1524.800000011921,235601.30000001192,7069,NNB,B,7
8,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),239044.5,110_o_f_n_a.png,O,m,891,9,1,1916.0,237128.5,7069,NNB,B,8
9,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),240727.80000001192,178_m_m_n_a.png,O,m,666,10,1,1676.0,239051.80000001192,7069,NNB,B,9
10,test,2,1.0,1-Back,1,z,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),242293.40000003576,178_m_m_n_a.png,O,z,535,11,1,1559.2000000476837,240734.19999998808,7069,NNB,B,10
11,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),244077.60000002384,110_o_f_n_a.png,O,m,766,12,1,1776.800000011921,242300.80000001192,7069,NNB,B,11
12,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),245974.60000002384,086_o_f_n_a.png,O,m,871,13,1,1888.9000000357628,244085.69999998808,7069,NNB,B,12
13,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),247577.19999998808,176_o_m_n_a.png,O,m,586,14,1,1594.5,245982.69999998808,7069,NNB,B,13
14,test,2,0.0,1-Back,1,m,Fri Feb 28 2025 09:45:59 GMT-0600 (Central Standard Time),249124.69999998808,065_o_m_n_a.png,O,m,517,15,1,1541.2999999523163,247583.40000003576,7069,NNB,B,14
