Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,229,143,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),,box1,yes,O,1,1,,,7080,DSST,C,,,,0,160,113
T,1,1,0.0,2,prac,yes,1,2,120000.0,201,155,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),75402.59999999404,box2,yes,O,1,1,3317.0999999940395,72085.5,7080,DSST,C,,,,1,160,113
),2,1,0.0,3,prac,yes,1,3,120000.0,218,143,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),78451.59999999404,box3,yes,O,1,1,2271.199999988079,76180.40000000596,7080,DSST,C,,,,2,160,113
L,3,1,0.0,4,prac,yes,1,4,120000.0,205,152,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),81803.29999999702,box4,yes,O,1,1,2576.2000000029802,79227.09999999404,7080,DSST,C,,,,3,160,113
-,4,1,0.0,1,prac,yes,1,1,120000.0,171,129,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),84867.09999999404,box1,yes,O,1,1,2286.8999999910593,82580.20000000298,7080,DSST,C,,,,4,160,113
O,5,1,0.0,6,prac,yes,1,6,120000.0,289,153,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),90531.59999999404,box6,yes,O,1,1,4893.399999991059,85638.20000000298,7080,DSST,C,,,,5,160,113
+,6,1,0.0,9,prac,yes,1,9,120000.0,250,150,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),94597.90000000596,box9,yes,O,1,1,3292.9000000059605,91305.0,7080,DSST,C,,,,6,160,113
X,7,1,0.0,8,prac,yes,1,8,120000.0,272,141,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),97729.79999999702,box8,yes,O,1,1,2357.7000000029802,95372.09999999404,7080,DSST,C,,,,7,160,113
^,8,1,0.0,7,prac,yes,1,7,120000.0,272,147,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),101361.5,box7,yes,O,1,1,2860.7000000029802,98500.79999999702,7080,DSST,C,,,,8,160,113
U,9,1,0.0,5,prac,yes,1,5,120000.0,295,130,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),104728.20000000298,box5,yes,O,1,1,2593.0,102135.20000000298,7080,DSST,C,,,,9,160,113
T,1,1,2.945000171661377,2,test,yes,1,2,117054.99982833862,315,139,Thu Mar 06 2025 19:18:01 GMT-0600 (Central Standard Time),122390.90000000596,box2,yes,O,1,1,2927.2000000029802,119463.70000000298,7080,DSST,C,119503.0,120146.0,117219.0,1,160,113
