block_c,block_dur,condition,countdown,datetime,endtime,list,multichar_response,project,response,response_time,session_number,start_end,starttime,subject_id,task,task_vers,trial
,,,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,,,O,space,710,1,,,7087,WL,B,
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,b,O,b,2599,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,bi,O,i,144,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,bii,O,i,100,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,bi,O,backspace,958,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,b,O,backspace,104,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,bo,O,o,792,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,boo,O,o,105,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,boos,O,s,298,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,boost,O,t,286,1,,,7087,WL,B,1.0
prac,,0,,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),,NA,boostenter,O,enter,788,1,,,7087,WL,B,1.0
1,0.6010000705718994,learn,59398.9999294281,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),152943.5,A,s,O,s,563,1,599.1000000238419,152344.39999997616,7087,WL,B,1.0
1,0.8510000705718994,learn,59148.9999294281,Wed Mar 05 2025 11:05:29 GMT-0600 (Central Standard Time),153193.5,A,st,O,t,205,1,849.1000000238419,152344.39999997616,7087,WL,B,1.0
