acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),57302.79999999702,O,m,1661,,,1,no,,3193.6000000089407,54109.19999998808,RNV,FNV,7096,LC,A,,,1
2,1,0.0,prac,1,m,30000.0,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),61035.89999999106,O,m,2197,,,3,no,,3727.8999999910593,57308.0,QHZXPC,QHZWPC,7096,LC,A,,,2
3,1,0.0,prac,1,z,30000.0,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),64267.89999999106,O,z,1704,,,4,yes,,3225.2000000029802,61042.69999998808,RSM,RSM,7096,LC,A,,,3
4,1,0.0,prac,1,z,30000.0,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),68365.69999998808,O,z,2573,,,2,yes,,4090.0999999940395,64275.59999999404,NBGFSM,NBGFSM,7096,LC,A,,,4
5,1,0.0,prac,1,z,30000.0,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),72796.59999999404,O,z,2900,,,6,yes,,4422.0999999940395,68374.5,CSDBFPHXZ,CSDBFPHXZ,7096,LC,A,,,5
6,1,0.0,prac,1,m,30000.0,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),77412.59999999404,O,m,3071,,,5,no,,4603.9000000059605,72808.69999998808,LNDPRSKQB,LNDPRSJQB,7096,LC,A,,,6
1,1,1.5999999046325684,test,1,m,28400.00009536743,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),82795.39999999106,O,m,1575,1575,,1,no,,1591.7999999970198,81203.59999999404,HCF,RCF,7096,LC,A,79384,,1
1,1,3.7330000400543213,test,0,m,26266.99995994568,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),84928.69999998808,O,z,2110,2110,,2,no,,2125.3999999910593,82803.29999999702,QTPRJX,QTPNJX,7096,LC,A,80984,,2
2,1,6.180999994277954,test,1,m,23819.000005722046,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),87376.29999999702,O,m,2432,2432,,3,no,,2439.7999999970198,84936.5,MZDYGVGKQ,MZDYGLBKQ,7096,LC,A,83118,,3
3,1,7.912999868392944,test,1,m,22087.000131607056,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),89108.59999999404,O,m,1725,1725,,4,no,,1727.7000000029802,87380.89999999106,FQTNMK,JQTNMK,7096,LC,A,85562,,4
4,1,9.34500002861023,test,1,z,20654.99997138977,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),90539.79999999702,O,z,1413,1413,,5,yes,,1425.1000000089407,89114.69999998808,CLJ,CLJ,7096,LC,A,87296,,5
4,1,12.678999900817871,test,0,m,17321.00009918213,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),93873.89999999106,O,z,3323,3323,,6,no,,3331.5999999940395,90542.29999999702,JGDMNSVPW,JGZMNSVPW,7096,LC,A,88723,,6
5,1,16.19599986076355,test,1,z,13804.00013923645,Fri Mar 28 2025 11:55:31 GMT-0500 (Central Daylight Time),97390.69999998808,O,z,3495,3495,,7,yes,,3512.7999999970198,93877.89999999106,FPTVHKCBJ,FPTVHKCBJ,7096,LC,A,92059,,7
