acc_sum,block,block_c,correct,correct_response,cursor_x,cursor_y,datetime,end_x_facename_roi,end_y_facename_roi,endtime,face,face_name,h_roi,project,response,response_time,response_time_learn_mouse_response,response_time_prac_learn_mouse_response,response_time_prac_test_stim_response,response_time_test_stim_response,row_sel,session_number,start_end,start_x_facename_roi,start_y_facename_roi,starttime,subject_id,task,task_vers,time_learn_stimuli,time_prac_learn_stimuli,time_prac_test_stimuli,time_test_stimuli,trial,w_roi,x,y
0,prac,1,0,,,,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),-224,-192,67202.70000000298,CFD-BM-224-073-N.jpg,Sam,64,O,None,3014,,3014,,,1,1,4033.9000000059605,-416,-256,63168.79999999702,7098,FN,B,,56329,,,1,192,-320,-224
1,prac,1,1,,347.0,7.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),416,32,71701.39999999851,CFD-WM-227-099-N.jpg,John,64,O,1,1446,,1446,,,2,1,2463.39999999851,224,-32,69238.0,7098,FN,B,,62393,,,2,192,320,0
2,prac,1,1,,-329.0,223.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),-224,256,74350.60000000149,CFD-LF-232-199-N.jpg,Tina,64,O,1,1628,,1628,,,3,1,2646.8000000044703,-416,192,71703.79999999702,7098,FN,B,,64859,,,3,192,-320,224
3,prac,1,1,,321.0,-241.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),416,-192,76633.10000000149,CFD-BM-224-073-N.jpg,Sam,64,O,1,1259,,1259,,,4,1,2280.60000000149,224,-256,74352.5,7098,FN,B,,67508,,,4,192,320,-224
4,prac,1,1,,-292.0,-11.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),-224,32,78665.89999999851,CFD-WM-227-099-N.jpg,John,64,O,1,1016,,1016,,,5,1,2030.8999999985099,-416,-32,76635.0,7098,FN,B,,69791,,,5,192,-320,0
5,prac,1,1,,294.0,213.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),416,256,80781.79999999702,CFD-LF-232-199-N.jpg,Tina,64,O,1,1087,,1087,,,6,1,2114.1999999955297,224,192,78667.60000000149,7098,FN,B,,71824,,,6,192,320,224
1,prac_test,1,1,z,294.0,213.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),416,256,103008.5,CFD-LF-232-199-N.jpg,Tina,64,O,z,2441,,,2441,,3,1,4218.89999999851,224,192,98789.60000000149,7098,FN,B,,,91934,,1,192,320,224
2,prac_test,1,1,m,294.0,213.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),416,256,107107.0,CFD-WM-227-099-N.jpg,Sam,64,O,m,2312,,,2312,,1,1,4091.60000000149,224,192,103015.39999999851,7098,FN,B,,,96166,,2,192,320,224
3,prac_test,1,1,m,294.0,213.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),416,256,111289.5,CFD-BM-224-073-N.jpg,John,64,O,m,2398,,,2398,,2,1,4179.20000000298,224,192,107110.29999999702,7098,FN,B,,,100265,,3,192,320,224
1,learn,1,1,,319.0,223.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),416,256,128150.5,CFD-LF-234-139-N.jpg,Helen,64,O,1,1353,1353,,,,48,1,2378.0,224,192,125772.5,7098,FN,B,118926,,,,1,192,320,224
2,learn,1,1,,-304.0,-220.0,Fri Apr 04 2025 14:17:42 GMT-0500 (Central Daylight Time),-224,-192,130249.89999999851,CFD-WF-216-079-N.jpg,Rachel,64,O,1,1083,1083,,,,31,1,2097.10000000149,-416,-256,128152.79999999702,7098,FN,B,121308,,,,2,192,-320,-224
