acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),47576.5,O,z,1283,,,5,yes,1,2810.2000000029802,44766.29999999702,practrial5.png,practrial5.png,7110,PC,C,,,1
1,1,0.0,prac,0,m,30000.0,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),50476.09999999404,O,z,1362,,,6,no,1,2893.89999999851,47582.19999999553,practrial6.png,practrial6b.png,7110,PC,C,,,2
2,1,0.0,prac,1,m,30000.0,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),53041.19999999553,O,m,1042,,,2,no,1,2558.7999999970198,50482.39999999851,practrial2.png,practrial2b.png,7110,PC,C,,,3
3,1,0.0,prac,1,m,30000.0,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),55392.0,O,m,835,,,4,no,1,2345.60000000149,53046.39999999851,practrial4.png,practrial4b.png,7110,PC,C,,,4
4,1,0.0,prac,1,z,30000.0,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),57888.19999999553,O,z,964,,,1,yes,1,2491.60000000149,55396.59999999404,practrial1.png,practrial1.png,7110,PC,C,,,5
5,1,0.0,prac,1,z,30000.0,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),60205.19999999553,O,z,797,,,3,yes,1,2313.2999999970198,57891.89999999851,practrial3.png,practrial3.png,7110,PC,C,,,6
1,1,1.0999999046325684,test,1,z,28900.00009536743,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),68519.69999999553,O,z,1084,1084,,1,yes,1,1098.7999999970198,67420.89999999851,test1trial1.png,test1trial1.png,7110,PC,C,64338,,1
2,1,2.2669999599456787,test,1,m,27733.00004005432,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),69686.09999999404,O,m,1155,1155,,2,no,1,1160.5999999940395,68525.5,test1trial2.png,test1trial2b.png,7110,PC,C,65444,,2
3,1,3.2839999198913574,test,1,z,26716.000080108643,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),70702.89999999851,O,z,1000,1000,,3,yes,1,1013.3000000044703,69689.59999999404,test1trial3.png,test1trial3.png,7110,PC,C,66607,,3
4,1,4.531999826431274,test,1,m,25468.000173568726,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),71951.19999999553,O,m,1229,1229,,4,no,1,1244.2999999970198,70706.89999999851,test1trial4.png,test1trial4b.png,7110,PC,C,67625,,4
5,1,5.349999904632568,test,1,z,24650.00009536743,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),72769.39999999851,O,z,796,796,,5,yes,1,813.3999999985099,71956.0,test1trial5.png,test1trial5.png,7110,PC,C,68874,,5
6,1,6.514999866485596,test,1,m,23485.000133514404,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),73934.39999999851,O,m,1157,1157,,6,no,1,1161.6000000014901,72772.79999999702,test1trial6.png,test1trial6b.png,7110,PC,C,69691,,6
7,1,7.515999794006348,test,1,z,22484.000205993652,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),74934.79999999702,O,z,984,984,,7,yes,1,997.3999999985099,73937.39999999851,test1trial7.png,test1trial7.png,7110,PC,C,70855,,7
7,1,8.797999858856201,test,0,m,21202.0001411438,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),76217.39999999851,O,z,1270,1270,,8,no,1,1278.8999999985099,74938.5,test1trial8.png,test1trial8b.png,7110,PC,C,71857,,8
8,1,9.498999834060669,test,1,z,20501.00016593933,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),76917.89999999851,O,z,695,695,,9,yes,1,697.2000000029802,76220.69999999553,test1trial9.png,test1trial9.png,7110,PC,C,73138,,9
9,1,10.398000001907349,test,1,m,19601.99999809265,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),77817.5,O,m,878,878,,10,no,1,895.3000000044703,76922.19999999553,test1trial10.png,test1trial10b.png,7110,PC,C,73840,,10
10,1,11.248999834060669,test,1,z,18751.00016593933,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),78668.09999999404,O,z,837,837,,11,yes,1,847.6999999955297,77820.39999999851,test1trial11.png,test1trial11.png,7110,PC,C,74738,,11
10,1,12.196999788284302,test,0,m,17803.0002117157,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),79616.39999999851,O,z,937,937,,12,no,1,944.5,78671.89999999851,test1trial12.png,test1trial12b.png,7110,PC,C,75590,,12
11,1,13.229999780654907,test,1,m,16770.000219345093,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),80649.19999999553,O,m,1019,1019,,13,no,1,1028.6999999955297,79620.5,test1trial13.png,test1trial13b.png,7110,PC,C,76539,,13
12,1,14.52999997138977,test,1,m,15470.00002861023,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),81949.09999999404,O,m,1283,1283,,14,no,1,1296.1999999955297,80652.89999999851,test1trial14.png,test1trial14b.png,7110,PC,C,77571,,14
13,1,15.212999820709229,test,1,z,14787.000179290771,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),82631.59999999404,O,z,672,672,,15,yes,1,678.7999999970198,81952.79999999702,test1trial15.png,test1trial15.png,7110,PC,C,78871,,15
14,1,16.662999868392944,test,1,m,13337.000131607056,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),84082.19999999553,O,m,1438,1438,,16,no,1,1447.0,82635.19999999553,test1trial16.png,test1trial16b.png,7110,PC,C,79553,,16
15,1,17.51199984550476,test,1,z,12488.00015449524,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),84931.29999999702,O,z,844,844,,17,yes,1,845.8999999985099,84085.39999999851,test1trial17.png,test1trial17.png,7110,PC,C,81003,,17
16,1,18.662999868392944,test,1,m,11337.000131607056,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),86081.89999999851,O,m,1129,1129,,18,no,1,1146.8000000044703,84935.09999999404,test1trial18.png,test1trial18b.png,7110,PC,C,81853,,18
17,1,20.296000003814697,test,1,m,9703.999996185303,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),87714.59999999404,O,m,1619,1619,,19,no,1,1628.7999999970198,86085.79999999702,test1trial19.png,test1trial19b.png,7110,PC,C,83004,,19
18,1,21.26099991798401,test,1,z,8739.000082015991,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),88680.29999999702,O,z,956,956,,20,yes,1,962.8999999985099,87717.39999999851,test1trial20.png,test1trial20.png,7110,PC,C,84635,,20
19,1,22.263999938964844,test,1,z,7736.000061035156,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),89682.89999999851,O,z,985,985,,21,yes,1,995.1000000014901,88687.79999999702,test1trial21.png,test1trial21.png,7110,PC,C,85606,,21
20,1,23.277999877929688,test,1,z,6722.0001220703125,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),90696.69999999553,O,z,995,995,,22,yes,1,1010.6000000014901,89686.09999999404,test1trial22.png,test1trial22.png,7110,PC,C,86604,,22
21,1,24.192999839782715,test,1,z,5807.000160217285,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),91612.19999999553,O,z,910,910,,23,yes,1,911.5,90700.69999999553,test1trial23.png,test1trial23.png,7110,PC,C,87618,,23
22,1,24.97599983215332,test,1,z,5024.00016784668,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),92395.69999999553,O,z,767,767,,24,yes,1,778.6999999955297,91617.0,test1trial24.png,test1trial24.png,7110,PC,C,88536,,24
23,1,25.92799997329712,test,1,m,4072.000026702881,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),93347.5,O,m,946,946,,25,no,1,947.6000000014901,92399.89999999851,test1trial25.png,test1trial25b.png,7110,PC,C,89318,,25
24,1,27.092000007629395,test,1,m,2907.9999923706055,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),94511.0,O,m,1154,1154,,26,no,1,1159.8000000044703,93351.19999999553,test1trial26.png,test1trial26b.png,7110,PC,C,90269,,26
24,1,28.408999919891357,test,0,m,1591.0000801086426,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),95828.39999999851,O,z,1303,1303,,27,no,1,1314.5,94513.89999999851,practrial6.png,practrial6b.png,7110,PC,C,91432,,27
25,1,29.508999824523926,test,1,z,491.0001754760742,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),96927.89999999851,O,z,1080,1080,,28,yes,1,1095.8999999985099,95832.0,practrial1.png,practrial1.png,7110,PC,C,92750,,28
25,1,30.008999824523926,test,0,m,-8.999824523925781,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),97428.09999999404,O,None,495,495,,29,no,1,496.3999999985099,96931.69999999553,practrial2.png,practrial2b.png,7110,PC,C,93850,,29
1,2,1.2330000400543213,test,1,m,28766.99995994568,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),100909.5,O,m,1214,,1214.0,1,no,1,3977.8000000044703,96931.69999999553,test2trial1.png,test2trial1b.png,7110,PC,C,,96600.0,1
1,2,2.5179998874664307,test,0,m,27482.00011253357,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),102194.19999999553,O,z,1271,,1271.0,2,no,1,5262.5,96931.69999999553,test2trial2.png,test2trial2b.png,7110,PC,C,,97832.0,2
2,2,3.7330000400543213,test,1,z,26266.99995994568,Thu Apr 03 2025 16:47:01 GMT-0500 (Central Daylight Time),103409.5,O,z,1197,,1197.0,3,yes,1,6477.80000000447,96931.69999999553,test2trial3.png,test2trial3.png,7110,PC,C,,99114.0,3
